"threshold","n_rules","n_flagged","workload","precision","recall","dollar_recall","x","pool"
0.65,3,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,0.00206137687793718,"ranger"
0.05,49534,35658,1,0.0839643277805822,1,1,1,"xgboost + ranger"
0.1,34497,29480,0.82674294688429,0.0976594301221167,0.961589846359385,0.961835025134332,0.961835025134332,"xgboost + ranger"
0.15,17378,18339,0.514302540804308,0.130377883199738,0.798597194388778,0.817399695837465,0.817399695837465,"xgboost + ranger"
0.2,4278,9001,0.252425823097201,0.170647705810466,0.513026052104208,0.547760941190802,0.547760941190802,"xgboost + ranger"
0.25,1285,3393,0.0951539626451287,0.213380489242558,0.241816967267869,0.268437712347514,0.268437712347514,"xgboost + ranger"
0.3,473,1210,0.0339334791631611,0.249586776859504,0.100868403473614,0.106405495482292,0.106405495482292,"xgboost + ranger"
0.35,181,512,0.0143586291996186,0.287109375,0.0490981963927856,0.0517628293587272,0.0517628293587272,"xgboost + ranger"
0.4,97,269,0.00754388916933087,0.275092936802974,0.0247160988643955,0.0247517496959326,0.0247517496959326,"xgboost + ranger"
0.45,45,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00948461771261399,0.00948461771261399,"xgboost + ranger"
0.5,26,38,0.00106567951090919,0.263157894736842,0.00334001336005344,0.00473564697350664,0.00473564697350664,"xgboost + ranger"
0.55,11,25,0.000701104941387627,0.32,0.00267201068804275,0.0038543750487745,0.0038543750487745,"xgboost + ranger"
0.6,8,19,0.000532839755454596,0.421052631578947,0.00267201068804275,0.0038543750487745,0.0038543750487745,"xgboost + ranger"
0.65,3,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,0.00206137687793718,"xgboost + ranger"
0.05,37120,35658,1,0.0839643277805822,1,1,1,"rpart + ranger"
0.1,27823,27810,0.779909136799596,0.102121539014743,0.948563794255177,0.947553851805465,0.947553851805465,"rpart + ranger"
0.15,16740,17981,0.504262718043637,0.132695623157778,0.796927187708751,0.806367617920084,0.806367617920084,"rpart + ranger"
0.2,5246,8564,0.240170508721745,0.173283512377394,0.495657982631931,0.530677970295616,0.530677970295616,"rpart + ranger"
0.25,1488,3086,0.0865443939648887,0.211924821775761,0.218436873747495,0.245545579650422,0.245545579650422,"rpart + ranger"
0.3,512,1084,0.0303999102585675,0.244464944649446,0.0885103540414162,0.0948937620032853,0.0948937620032853,"rpart + ranger"
0.35,178,511,0.0143305850019631,0.275929549902153,0.0470941883767535,0.0487764024690841,0.0487764024690841,"rpart + ranger"
0.4,93,263,0.00737562398339783,0.254752851711027,0.022378089512358,0.0225419080013019,0.0225419080013019,"rpart + ranger"
0.45,45,92,0.00258006618430647,0.260869565217391,0.00801603206412826,0.00948461771261399,0.00948461771261399,"rpart + ranger"
0.5,26,38,0.00106567951090919,0.263157894736842,0.00334001336005344,0.00473564697350664,0.00473564697350664,"rpart + ranger"
0.55,11,25,0.000701104941387627,0.32,0.00267201068804275,0.0038543750487745,0.0038543750487745,"rpart + ranger"
0.6,8,19,0.000532839755454596,0.421052631578947,0.00267201068804275,0.0038543750487745,0.0038543750487745,"rpart + ranger"
0.65,3,10,0.000280441976555051,0.4,0.00133600534402138,0.00206137687793718,0.00206137687793718,"rpart + ranger"
