"state","arm","budget","n_pool","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Tennessee","national",0.1,53420,60,158,938,93,23,0.2473,0.0991,0.258,0,0
"Tennessee","blended",0.05,58871,24,45,938,46,11,0.2391,0.0991,0.1206,0,0
"Tennessee","blended",0.1,58871,41,121,938,93,19,0.2043,0.0991,0.2336,0,0
"Texas","state",0.05,1832,3,8,832,40,11,0.275,0.149,0.1008,0,0
"Texas","state",0.1,1832,10,14,832,83,22,0.2651,0.149,0.1937,0,0
"Texas","national",0.05,53420,36,63,832,41,12,0.2927,0.149,0.1004,0,0
"Texas","national",0.1,53420,67,115,832,83,19,0.2289,0.149,0.1951,0,0
"Texas","blended",0.05,55245,21,40,832,41,13,0.3171,0.149,0.1043,0,0
"Texas","blended",0.1,55245,37,115,832,83,23,0.2771,0.149,0.1844,0,0
"Utah","state",0.05,1760,3,10,982,49,5,0.102,0.0438,0.1133,0,0
"Utah","state",0.1,1760,11,15,982,97,11,0.1134,0.0438,0.3611,0,0
"Utah","national",0.05,53420,39,75,982,49,7,0.1429,0.0438,0.1358,0,0
"Utah","national",0.1,53420,78,133,982,98,11,0.1122,0.0438,0.2246,0,0
"Utah","blended",0.05,55173,39,75,982,49,7,0.1429,0.0438,0.1358,0,0
"Utah","blended",0.1,55173,78,133,982,98,11,0.1122,0.0438,0.2246,0,0
"Vermont","state",0.05,193,3,6,631,27,5,0.1852,0.0634,0.2015,0,0
"Vermont","state",0.1,193,7,22,631,63,10,0.1587,0.0634,0.2797,0,0
"Vermont","national",0.05,53420,27,47,631,31,7,0.2258,0.0634,0.2185,0,0
"Vermont","national",0.1,53420,45,92,631,63,11,0.1746,0.0634,0.3657,0,0
"Vermont","blended",0.05,53612,27,47,631,31,7,0.2258,0.0634,0.2185,0,0
"Vermont","blended",0.1,53612,45,92,631,63,11,0.1746,0.0634,0.3657,0,0
"Virginia","state",0.05,6773,1,7,695,32,11,0.3438,0.1698,0.0937,0,0
"Virginia","state",0.1,6773,4,11,695,69,24,0.3478,0.1698,0.2315,0,0
"Virginia","national",0.05,53420,32,49,695,34,17,0.5,0.1698,0.1916,0,0
