"state","arm","budget","n_pool","n_dropped_by_floor","n_core","n_buffer","n_te","n_flagged","n_errors_caught","precision","base_rate_te","dollar_recall","fill_gap_core","fill_gap_total"
"Maryland","unfiltered",0.1,58376,0,12,42,677,67,28,0.4179,0.1433,0.2323,0,0
"Maryland","floor02",0.05,58183,193,9,14,677,32,13,0.4062,0.1433,0.1007,0,0
"Maryland","floor02",0.1,58183,193,12,41,677,67,28,0.4179,0.1433,0.2323,0,0
"Maryland","floor05",0.05,57742,634,9,14,677,32,13,0.4062,0.1433,0.1007,0,0
"Maryland","floor05",0.1,57742,634,12,44,677,67,28,0.4179,0.1433,0.2323,0,0
"Massachusetts","unfiltered",0.05,58307,0,25,55,764,38,17,0.4474,0.1545,0.1352,0,0
"Massachusetts","unfiltered",0.1,58307,0,56,89,764,76,33,0.4342,0.1545,0.2668,0,0
"Massachusetts","floor02",0.05,58114,193,25,55,764,38,17,0.4474,0.1545,0.1352,0,0
"Massachusetts","floor02",0.1,58114,193,57,85,764,76,33,0.4342,0.1545,0.2668,0,0
"Massachusetts","floor05",0.05,57655,652,25,56,764,38,17,0.4474,0.1545,0.1352,0,0
"Massachusetts","floor05",0.1,57655,652,56,97,764,76,33,0.4342,0.1545,0.2668,0,0
"Michigan","unfiltered",0.05,56307,0,22,42,847,42,17,0.4048,0.1311,0.131,0,0
"Michigan","unfiltered",0.1,56307,0,45,110,847,84,27,0.3214,0.1311,0.2734,0,0
"Michigan","floor02",0.05,56114,193,22,41,847,42,17,0.4048,0.1311,0.131,0,0
"Michigan","floor02",0.1,56114,193,45,108,847,84,27,0.3214,0.1311,0.2734,0,0
"Michigan","floor05",0.05,55672,635,22,41,847,42,17,0.4048,0.1311,0.131,0,0
"Michigan","floor05",0.1,55672,635,45,108,847,84,27,0.3214,0.1311,0.2734,0,0
"Minnesota","unfiltered",0.05,57790,0,26,66,799,39,17,0.4359,0.1339,0.1874,0,0
"Minnesota","unfiltered",0.1,57790,0,57,103,799,79,27,0.3418,0.1339,0.3013,0,0
"Minnesota","floor02",0.05,57596,194,26,66,799,39,17,0.4359,0.1339,0.1874,0,0
"Minnesota","floor02",0.1,57596,194,56,104,799,79,27,0.3418,0.1339,0.3013,0,0
"Minnesota","floor05",0.05,57153,637,26,66,799,39,17,0.4359,0.1339,0.1874,0,0
"Minnesota","floor05",0.1,57153,637,57,104,799,79,28,0.3544,0.1339,0.3069,0,0
"Mississippi","unfiltered",0.05,60301,0,25,28,902,45,20,0.4444,0.1408,0.1523,0,0
"Mississippi","unfiltered",0.1,60301,0,28,121,902,90,34,0.3778,0.1408,0.2893,0,0
"Mississippi","floor02",0.05,60108,193,25,27,902,45,20,0.4444,0.1408,0.1523,0,0
"Mississippi","floor02",0.1,60108,193,27,120,902,90,34,0.3778,0.1408,0.2893,0,0
"Mississippi","floor05",0.05,59667,634,25,27,902,45,20,0.4444,0.1408,0.1523,0,0
"Mississippi","floor05",0.1,59667,634,27,121,902,90,34,0.3778,0.1408,0.2893,0,0
"Missouri","unfiltered",0.05,55539,0,22,54,756,37,10,0.2703,0.0899,0.1732,0,0
"Missouri","unfiltered",0.1,55539,0,43,115,756,75,20,0.2667,0.0899,0.3551,0,0
"Missouri","floor02",0.05,55346,193,22,56,756,37,10,0.2703,0.0899,0.1732,0,0
"Missouri","floor02",0.1,55346,193,44,115,756,75,20,0.2667,0.0899,0.3551,0,0
"Missouri","floor05",0.05,54905,634,22,56,756,37,10,0.2703,0.0899,0.1732,0,0
"Missouri","floor05",0.1,54905,634,44,116,756,75,21,0.28,0.0899,0.3667,0,0
"Montana","unfiltered",0.05,54265,0,31,39,575,28,11,0.3929,0.1113,0.2084,0,0
"Montana","unfiltered",0.1,54265,0,56,93,575,57,14,0.2456,0.1113,0.2598,0,0
"Montana","floor02",0.05,54072,193,31,41,575,28,11,0.3929,0.1113,0.2084,0,0
"Montana","floor02",0.1,54072,193,59,92,575,57,14,0.2456,0.1113,0.2598,0,0
"Montana","floor05",0.05,53631,634,31,40,575,28,11,0.3929,0.1113,0.2084,0,0
"Montana","floor05",0.1,53631,634,57,97,575,57,14,0.2456,0.1113,0.2598,0,0
"Nebraska","unfiltered",0.05,53990,0,40,75,881,44,6,0.1364,0.0613,0.1087,0,0
"Nebraska","unfiltered",0.1,53990,0,78,122,881,88,9,0.1023,0.0613,0.1839,0,0
"Nebraska","floor02",0.05,53797,193,41,73,881,44,5,0.1136,0.0613,0.0974,0,0
"Nebraska","floor02",0.1,53797,193,83,116,881,88,9,0.1023,0.0613,0.1839,0,0
