"state","fy","raw_cases","errors_over_thr","err_dollars_wtd","ineligible_units","completed_reviews"
"South Dakota",2024,667,33,333830,8,675
"Tennessee",2017,1019,44,2836050,16,1036
"Tennessee",2018,1027,48,2597291,19,1046
"Tennessee",2019,1030,77,4539018,31,1061
"Tennessee",2022,937,92,5975218,119,1062
"Tennessee",2023,973,93,5145273,75,1049
"Tennessee",2024,964,93,5390105,52,1023
"Texas",2017,1010,75,15307845,5,1015
"Texas",2018,873,72,16505078,8,882
"Texas",2019,824,87,18922952,16,841
"Texas",2022,866,106,28836726,17,885
"Texas",2023,842,106,28714043,16,858
"Texas",2024,955,147,35982847,16,971
"Utah",2017,874,75,818400,20,894
"Utah",2018,881,66,666529,24,906
"Utah",2019,967,53,647213,14,983
"Utah",2022,1007,63,728971,35,1044
"Utah",2023,1055,42,599809,33,1088
"Utah",2024,1065,50,592384,41,1111
"Vermont",2017,689,26,203262,2,691
"Vermont",2018,680,32,296669,5,685
"Vermont",2019,644,33,246126,7,651
"Vermont",2022,721,42,345005,13,734
"Vermont",2023,694,42,482140,7,702
"Vermont",2024,657,42,532059,11,670
"Virgin Islands",2017,202,17,146411,5,207
"Virgin Islands",2018,232,22,196782,4,236
"Virgin Islands",2019,190,17,228109,2,192
"Virgin Islands",2022,219,25,327538,1,220
"Virgin Islands",2023,259,45,430541,8,267
"Virgin Islands",2024,278,24,166871,2,280
"Virginia",2017,740,92,5048451,29,773
"Virginia",2018,779,97,5096294,23,804
"Virginia",2019,647,95,4894280,29,679
"Virginia",2022,786,108,6839255,17,805
"Virginia",2023,789,114,9526768,15,806
"Virginia",2024,770,132,10942819,18,798
"Washington",2017,950,37,2540869,4,955
"Washington",2018,846,51,3552873,11,858
"Washington",2019,869,59,3932449,14,889
"Washington",2022,786,79,8993140,25,820
"Washington",2023,817,80,9323001,11,852
"Washington",2024,861,73,8391180,16,883
"West Virginia",2017,850,112,2878409,23,873
"West Virginia",2018,858,91,1888626,13,871
"West Virginia",2019,810,88,1888141,11,821
"West Virginia",2022,888,81,1866926,42,931
"West Virginia",2023,816,72,2224063,47,863
"West Virginia",2024,772,63,1731835,21,810
"Wisconsin",2017,970,117,4819243,11,982
"Wisconsin",2018,960,106,3862672,18,978
"Wisconsin",2019,1077,96,3015737,10,1088
"Wisconsin",2022,986,59,3671416,11,997
"Wisconsin",2023,1128,76,5112775,10,1142
"Wisconsin",2024,1044,65,4111370,8,1058
"Wyoming",2017,347,22,90317,7,354
"Wyoming",2018,307,25,94276,6,313
"Wyoming",2019,303,15,50667,2,305
"Wyoming",2022,290,18,100554,8,298
"Wyoming",2023,291,10,64354,12,303
"Wyoming",2024,303,21,177339,7,310
