"x","approach","precision_scheme","precision_baseline","delta"
0.36,"1/2/3-4/5+",0.143178100648353,0.142600878981082,0.00057722166727095
0.38,"1/2/3-4/5+",0.139648934945224,0.139857488337282,-0.000208553392058525
0.4,"1/2/3-4/5+",0.136010097200893,0.136868171255907,-0.000858074055014368
0.42,"1/2/3-4/5+",0.132373383353028,0.134329973917767,-0.00195659056473887
0.44,"1/2/3-4/5+",0.128727613101299,0.131528936312046,-0.00280132321074678
0.46,"1/2/3-4/5+",0.125016874460822,0.128772473979309,-0.00375559951848689
0.48,"1/2/3-4/5+",0.121583588819141,0.12634927882121,-0.00476569000206896
0.5,"1/2/3-4/5+",0.118724257174456,0.12367652292544,-0.0049522657509849
0.52,"1/2/3-4/5+",0.115484923934074,0.12105470850015,-0.00556978456607576
0.54,"1/2/3-4/5+",0.112767242601108,0.11847088376743,-0.00570364116632248
0.56,"1/2/3-4/5+",0.10993361991477,0.115812287531738,-0.00587866761696783
0.58,"1/2/3-4/5+",0.107149002382521,0.113123692879434,-0.0059746904969129
0.6,"1/2/3-4/5+",0.104351867155309,0.110455528309748,-0.00610366115443903
0.62,"1/2/3-4/5+",0.101994425972133,0.108087689389981,-0.00609326341784767
