"step","n_flagged","workload","recall","dollar_recall","precision","x","approach"
18,22754,0.678717375093214,0.960511033681765,0.972563194293838,0.0363452579766195,0.960511033681765,"Pooled (all HH)"
19,22758,0.678836689038031,0.960511033681765,0.972563194293838,0.0363388698479655,0.960511033681765,"Pooled (all HH)"
1,9,0.000268456375838926,0.00464576074332172,0.00485794838429842,0.444444444444444,0.00464576074332172,"By household size"
2,20,0.000596569724086503,0.00929152148664344,0.00874237933444179,0.4,0.00929152148664344,"By household size"
3,22,0.000656226696495153,0.0104529616724739,0.0116484734571917,0.409090909090909,0.0104529616724739,"By household size"
4,34,0.00101416853094705,0.0150987224157956,0.0199571074001783,0.382352941176471,0.0150987224157956,"By household size"
5,40,0.00119313944817301,0.0174216027874564,0.0221306537506928,0.375,0.0174216027874564,"By household size"
6,94,0.00280387770320656,0.032520325203252,0.0353791657630304,0.297872340425532,0.032520325203252,"By household size"
7,103,0.00307233407904549,0.0348432055749129,0.039167208848406,0.29126213592233,0.0348432055749129,"By household size"
8,132,0.00393736017897092,0.0418118466898955,0.0470083616472686,0.272727272727273,0.0418118466898955,"By household size"
9,184,0.00548844146159582,0.0534262485481998,0.0626135569531796,0.25,0.0534262485481998,"By household size"
10,199,0.0059358687546607,0.0569105691056911,0.0675678932022458,0.246231155778894,0.0569105691056911,"By household size"
11,226,0.00674123788217748,0.0627177700348432,0.0709029133232126,0.238938053097345,0.0627177700348432,"By household size"
12,291,0.00868008948545861,0.0754936120789779,0.084430950143377,0.223367697594502,0.0754936120789779,"By household size"
13,308,0.00918717375093214,0.0789779326364692,0.0875442781753777,0.220779220779221,0.0789779326364692,"By household size"
14,345,0.0102908277404922,0.0859465737514518,0.0927733198390323,0.214492753623188,0.0859465737514518,"By household size"
15,389,0.0116032811334825,0.0940766550522648,0.101814501554254,0.208226221079692,0.0940766550522648,"By household size"
16,447,0.0133333333333333,0.104529616724739,0.108017060652064,0.201342281879195,0.104529616724739,"By household size"
17,466,0.0139000745712155,0.10801393728223,0.110773753584424,0.199570815450644,0.10801393728223,"By household size"
18,477,0.0142281879194631,0.110336817653891,0.113438878045254,0.19916142557652,0.110336817653891,"By household size"
19,496,0.0147949291573453,0.113821138211382,0.116104002506084,0.19758064516129,0.113821138211382,"By household size"
20,515,0.0153616703952274,0.117305458768873,0.117848622858382,0.196116504854369,0.117305458768873,"By household size"
21,614,0.0183146905294556,0.13472706155633,0.142861273765633,0.188925081433225,0.13472706155633,"By household size"
22,620,0.0184936614466816,0.13588850174216,0.143381768235379,0.188709677419355,0.13588850174216,"By household size"
23,640,0.0190902311707681,0.139372822299652,0.145232415238921,0.1875,0.139372822299652,"By household size"
24,646,0.019269202087994,0.140534262485482,0.146649316851008,0.187306501547988,0.140534262485482,"By household size"
25,652,0.01944817300522,0.141695702671312,0.147005951950649,0.187116564417178,0.141695702671312,"By household size"
26,694,0.0207009694258016,0.148664343786295,0.161372563194294,0.184438040345821,0.148664343786295,"By household size"
27,722,0.0215361670395227,0.153310104529617,0.166346177016314,0.182825484764543,0.153310104529617,"By household size"
28,758,0.0226099925428784,0.159117305458769,0.179040458806236,0.180738786279683,0.159117305458769,"By household size"
29,772,0.023027591349739,0.16144018583043,0.183527313911179,0.180051813471503,0.16144018583043,"By household size"
30,786,0.0234451901565996,0.163763066202091,0.184910479770597,0.179389312977099,0.163763066202091,"By household size"
31,846,0.0252348993288591,0.173054587688734,0.1910118316104,0.17612293144208,0.173054587688734,"By household size"
32,868,0.0258911260253542,0.176538908246225,0.194476975348804,0.175115207373272,0.176538908246225,"By household size"
33,1025,0.0305741983594333,0.199767711962834,0.214988312971397,0.16780487804878,0.199767711962834,"By household size"
34,1027,0.0306338553318419,0.200929152148664,0.21707511024362,0.168451801363194,0.200929152148664,"By household size"
35,1034,0.0308426547352722,0.202090592334495,0.219451071110147,0.168278529980658,0.202090592334495,"By household size"
36,1073,0.0320059656972409,0.207897793263647,0.225933155015784,0.166821994408201,0.207897793263647,"By household size"
37,1112,0.0331692766592095,0.213704994192799,0.228935637003301,0.165467625899281,0.213704994192799,"By household size"
38,1119,0.0333780760626398,0.21486643437863,0.229379021181233,0.16532618409294,0.21486643437863,"By household size"
39,1159,0.0345712155108128,0.220673635307782,0.235118918528157,0.163934426229508,0.220673635307782,"By household size"
