"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any"
"1","expedited_i > 0.500 & percent_abawd > 0.500 & rawben_rel_max <= 0.802 & unc_rawben_rel_max > 0.459","ranger",24,7,0.2917,0.1313,6,0,0,0,0,0.029,7,1,0.1429,8e-04,4e-04,0.032
"1","shelter_expenses_by_hh_size >= 264.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344","xgboost",155,30,0.1935,0.1306,77,18,0.2338,0.24,0.2914,0.375,77,18,0.2338,0.0139,0.0166,0.354
"1","count_divisible_by_100 <=  0.500 & percent_abawd >  0.500 & rawben_rel_max <=  0.676 & total_deductions_by_hh_size <= 78.700","ranger",50,12,0.24,0.1295,28,2,0.0714,0.0267,0.0269,0.136,28,2,0.0714,0.0015,0.0015,0.129
"1","elderly_disabled_i <= 0.500 & percent_abawd <= 0.750 & unc_rawben_rel_max > 0.623 & unc_rawben_rel_max <= 0.634","ranger",11,4,0.3636,0.1287,8,0,0,0,0,0.039,8,0,0,0,0,0.037
"1","cat_elig >=  1.00000 & rawben_rel_max <  0.68800 & unc_rawben_rel_max >= -0.01600 & unc_rawben_rel_max <  0.00344","xgboost",280,49,0.175,0.1285,132,23,0.1742,0.3067,0.4155,0.642,132,23,0.1742,0.0178,0.0236,0.606
"1","percent_abawd >   0.500 & shelter_expenses_by_hh_size <= 444.000 & total_deductions_by_hh_size <=  84.200 & unc_rawben_rel_max <=   0.793","ranger",62,14,0.2258,0.1273,27,2,0.0741,0.0267,0.0269,0.131,27,2,0.0741,0.0015,0.0015,0.124
"1","elderly_disabled_i <   1.00000 & unc_rawben_rel_max >=  -0.01600 & unc_rawben_rel_max <   0.00344 & utilities >= 385.00000","xgboost",20,6,0.3,0.1269,8,2,0.25,0.0267,0.0498,0.039,8,2,0.25,0.0015,0.0028,0.037
"1","elderly_disabled_i <=  0.500 & rawben_rel_max >  0.245 & total_deductions_by_hh_size <= 56.600 & unc_rawben_rel_max <=  0.592","ranger",35,9,0.2571,0.1265,18,4,0.2222,0.0533,0.0559,0.088,19,5,0.2632,0.0039,0.0036,0.087
"1","total_deductions_by_hh_size >= 252.00000 & unc_rawben_rel_max >=  -0.00400 & unc_rawben_rel_max <   0.00344 & utilities < 288.00000","xgboost",25,7,0.28,0.1258,20,6,0.3,0.08,0.1495,0.097,20,6,0.3,0.0046,0.0085,0.092
"1","shelter_expenses_by_hh_size < 240.00000 & unc_rawben_rel_max >=  -0.01600 & unc_rawben_rel_max <   0.00344 & utilities < 385.00000","xgboost",63,14,0.2222,0.1252,34,6,0.1765,0.08,0.1302,0.165,34,6,0.1765,0.0046,0.0074,0.156
