"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame","side","status","mean_threshold_shift_pct"
"2-3","medical_deductions <= 169 & shelter_expenses_by_hh_size > 943 & total_deductions_by_hh_size > 452 & utilities > 556","ranger",168,48,0.2857,0.2123,121,20,0.1653,0.0203,0.0262,1.317,121,20,0.1653,0.0203,0.0262,1.317,"any_error","old","shifted",NA
"2-3","married >   0.5 & medical_deductions <= 562.0 & shelter_expenses_by_hh_size > 858.0","ranger",221,61,0.276,0.2121,137,20,0.146,0.0203,0.0251,1.492,137,20,0.146,0.0203,0.0251,1.492,"any_error","old","overlap",NA
"2-3","months_since_cert_n <   1.00 & rawben_rel_max >=   0.22 & total_deductions_by_hh_size >= 496.00","xgboost",82,26,0.3171,0.2121,38,8,0.2105,0.0081,0.0061,0.414,38,8,0.2105,0.0081,0.0061,0.414,"any_error","old","shifted",NA
"2-3","HH_size_n <=   2.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 457.000 & unc_rawben_rel_max <=   2.240","ranger",833,204,0.2449,0.212,458,75,0.1638,0.0761,0.0728,4.986,458,75,0.1638,0.0761,0.0728,4.986,"any_error","old","shifted",NA
"2-3","rawben_rel_max <=   0.992 & shelter_expenses_by_hh_size > 937.000 & unc_rawben_rel_max <=   0.995 & utilities > 488.000","ranger",217,60,0.2765,0.212,145,27,0.1862,0.0274,0.033,1.579,145,27,0.1862,0.0274,0.033,1.579,"any_error","old","shifted",NA
"2-3","medical_deductions <=  11.500 & shelter_expenses_by_hh_size > 857.000 & unc_rawben_rel_max <=   0.995 & utilities >  30.500","ranger",384,100,0.2604,0.2119,240,39,0.1625,0.0396,0.0447,2.613,240,39,0.1625,0.0396,0.0447,2.613,"any_error","old","shifted",NA
"2-3","expedited_i <   1.000 & HH_size_n <   3.000 & percent_abawd <   0.333 & shelter_expenses_by_hh_size >= 898.000","xgboost",410,106,0.2585,0.2116,250,37,0.148,0.0375,0.0425,2.722,250,37,0.148,0.0375,0.0425,2.722,"any_error","old","overlap",NA
"2-3","medical_deductions < 158 & total_deductions_by_hh_size >= 634 & utilities >= 534","xgboost",197,55,0.2792,0.2115,110,23,0.2091,0.0233,0.0271,1.198,110,23,0.2091,0.0233,0.0271,1.198,"any_error","old","shifted",NA
"2-3","months_since_cert_n <   5.00 & shelter_expenses_by_hh_size >= 790.00 & unc_rawben_rel_max <   1.25 & utilities < 435.00","xgboost",86,27,0.314,0.2115,53,8,0.1509,0.0081,0.0083,0.577,53,8,0.1509,0.0081,0.0083,0.577,"any_error","old","shifted",NA
"2-3","months_since_cert_n <=   5.500 & rawben_rel_max <=   0.993 & shelter_expenses_by_hh_size > 986.000 & unc_rawben_rel_max <=   0.996","ranger",113,34,0.3009,0.2115,65,13,0.2,0.0132,0.0162,0.708,65,13,0.2,0.0132,0.0162,0.708,"any_error","old","shifted",NA
"2-3","cat_elig >   1.5 & expedited_i <=   0.5 & medical_deductions <= 318.0 & shelter_expenses_by_hh_size > 800.0","ranger",419,108,0.2578,0.2114,10,0,0,0,0,0.109,10,0,0,0,0,0.109,"any_error","old","overlap",NA
"2-3","count_divisible_by_100 <=   0.5 & elderly_disabled_i >   0.5 & shelter_expenses_by_hh_size > 859.0","ranger",263,71,0.27,0.2114,149,31,0.2081,0.0314,0.0312,1.622,149,31,0.2081,0.0314,0.0312,1.622,"any_error","old","overlap",NA
"2-3","cat_elig >   0.500 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size <= 850.000 & unc_rawben_rel_max <=   0.996","ranger",71,23,0.3239,0.2113,50,11,0.22,0.0112,0.0113,0.544,50,11,0.22,0.0112,0.0113,0.544,"any_error","old","overlap",NA
"2-3","count_divisible_by_100 >=   1 & medical_deductions < 279 & shelter_expenses_by_hh_size >= 450 & total_deductions_by_hh_size >= 554","xgboost",49,17,0.3469,0.2113,27,6,0.2222,0.0061,0.0076,0.294,27,6,0.2222,0.0061,0.0076,0.294,"any_error","old","shifted",NA
"2-3","medical_deductions <= 198.000 & rawben_rel_max >   0.996 & shelter_expenses_by_hh_size <= 592.000 & unc_rawben_rel_max >   1.520","ranger",71,23,0.3239,0.2113,35,12,0.3429,0.0122,0.0179,0.381,35,12,0.3429,0.0122,0.0179,0.381,"any_error","old","shifted",NA
"2-3","percent_abawd <=   0.583 & shelter_expenses_by_hh_size <= 751.000 & unc_rawben_rel_max >   0.994 & unc_rawben_rel_max <=   0.997","ranger",71,23,0.3239,0.2113,51,11,0.2157,0.0112,0.008,0.555,51,11,0.2157,0.0112,0.008,0.555,"any_error","old","overlap",NA
"2-3","months_since_cert_n <  25.00 & shelter_expenses_by_hh_size >= 407.00 & unc_rawben_rel_max >=   1.51","xgboost",121,36,0.2975,0.2112,72,27,0.375,0.0274,0.0406,0.784,72,27,0.375,0.0274,0.0406,0.784,"any_error","old","shifted",NA
"2-3","children_i <= 0.500 & elderly_disabled_i > 0.500 & expedited_i > 0.500 & unc_rawben_rel_max <= 0.779","ranger",35,13,0.3714,0.211,25,2,0.08,0.002,0.0024,0.272,25,2,0.08,0.002,0.0024,0.272,"any_error","old","dropped",NA
"2-3","count_divisible_by_100 <=   0.500 & rawben_rel_max <=   0.986 & shelter_expenses_by_hh_size > 916.000 & unc_rawben_rel_max <=   0.997","ranger",276,74,0.2681,0.211,156,29,0.1859,0.0294,0.0334,1.698,156,29,0.1859,0.0294,0.0334,1.698,"any_error","old","shifted",NA
"2-3","married >   0.5 & months_since_cert_n >   4.5 & shelter_expenses_by_hh_size > 858.0 & total_deductions_by_hh_size > 718.0","ranger",35,13,0.3714,0.211,32,4,0.125,0.0041,0.0041,0.348,32,4,0.125,0.0041,0.0041,0.348,"any_error","old","shifted",NA
"2-3","medical_deductions > 144.00 & medical_deductions <= 274.00 & rawben_rel_max >   0.18","ranger",129,38,0.2946,0.211,66,14,0.2121,0.0142,0.0094,0.719,66,14,0.2121,0.0142,0.0094,0.719,"any_error","old","shifted",NA
"2-3","months_since_cert_n >   6.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 468.000 & unc_rawben_rel_max <=   0.993","ranger",251,68,0.2709,0.211,151,22,0.1457,0.0223,0.0206,1.644,151,22,0.1457,0.0223,0.0206,1.644,"any_error","old","overlap",NA
"2-3","cat_elig >   1.5 & children_i <=   0.5 & elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 468.0","ranger",157,45,0.2866,0.2109,5,1,0.2,0.001,0.0011,0.054,5,1,0.2,0.001,0.0011,0.054,"any_error","old","overlap",NA
"2-3","cat_elig <=   1.5 & count_divisible_by_100 <=   0.5 & medical_deductions > 145.0 & total_deductions_by_hh_size > 500.0","ranger",42,15,0.3571,0.2108,36,11,0.3056,0.0112,0.013,0.392,36,11,0.3056,0.0112,0.013,0.392,"any_error","old","overlap",NA
"2-3","medical_deductions >  11.5 & months_since_cert_n >   4.5 & shelter_expenses_by_hh_size > 857.0 & utilities >  30.5","ranger",42,15,0.3571,0.2108,25,7,0.28,0.0071,0.0059,0.272,25,7,0.28,0.0071,0.0059,0.272,"any_error","old","shifted",NA
"2-3","months_since_cert_n <  28.000 & rawben_rel_max >=   0.271 & total_deductions_by_hh_size >= 275.000 & unc_rawben_rel_max <   0.290","xgboost",42,15,0.3571,0.2108,23,2,0.087,0.002,0.0013,0.25,23,2,0.087,0.002,0.0013,0.25,"any_error","old","shifted",NA
"2-3","children_i <= 0.500 & expedited_i > 0.500 & rawben_rel_max <= 0.997","ranger",94,29,0.3085,0.2107,60,10,0.1667,0.0101,0.0133,0.653,60,10,0.1667,0.0101,0.0133,0.653,"any_error","old","overlap",NA
"2-3","children_i >   0.50 & married >   0.50 & rawben_rel_max <=   0.95 & shelter_expenses_by_hh_size > 618.00","ranger",94,29,0.3085,0.2107,49,12,0.2449,0.0122,0.0112,0.533,49,12,0.2449,0.0122,0.0112,0.533,"any_error","old","dropped",NA
"2-3","cat_elig <=   2.500 & count_divisible_by_100 >   0.500 & medical_deductions > 138.000 & unc_rawben_rel_max <=   0.997","ranger",25,10,0.4,0.2104,11,1,0.0909,0.001,9e-04,0.12,11,1,0.0909,0.001,9e-04,0.12,"any_error","old","overlap",NA
"2-3","cat_elig >   1.5 & expedited_i >   0.5 & total_deductions_by_hh_size > 527.0","ranger",25,10,0.4,0.2104,0,0,NA,0,0,0,0,0,NA,0,0,0,"any_error","old","dropped",NA
"2-3","married >=    1.00 & medical_deductions <  193.00 & shelter_expenses_by_hh_size < 1020.00 & unc_rawben_rel_max >=    1.69","xgboost",25,10,0.4,0.2104,19,7,0.3684,0.0071,0.0091,0.207,19,7,0.3684,0.0071,0.0091,0.207,"any_error","old","shifted",NA
"2-3","medical_deductions <= 456 & total_deductions_by_hh_size > 679 & total_deductions_by_hh_size <= 695","ranger",25,10,0.4,0.2104,16,4,0.25,0.0041,0.0023,0.174,16,4,0.25,0.0041,0.0023,0.174,"any_error","old","shifted",NA
"2-3","medical_deductions >  127.00 & percent_abawd <=    0.25 & shelter_expenses_by_hh_size > 1020.00 & total_deductions_by_hh_size >  363.00","ranger",25,10,0.4,0.2104,24,8,0.3333,0.0081,0.0103,0.261,24,8,0.3333,0.0081,0.0103,0.261,"any_error","old","shifted",NA
"2-3","medical_deductions > 575 & shelter_expenses_by_hh_size <= 754","ranger",25,10,0.4,0.2104,10,3,0.3,0.003,0.006,0.109,10,3,0.3,0.003,0.006,0.109,"any_error","old","shifted",NA
"2-3","shelter_expenses_by_hh_size > 263 & shelter_expenses_by_hh_size <= 632 & total_deductions_by_hh_size > 639 & utilities > 450","ranger",25,10,0.4,0.2104,14,4,0.2857,0.0041,0.0054,0.152,14,4,0.2857,0.0041,0.0054,0.152,"any_error","old","shifted",NA
"2-3","children_i <   1.000 & percent_abawd <   0.500 & rawben_rel_max <   0.956 & total_deductions_by_hh_size >= 469.000","xgboost",227,62,0.2731,0.2102,130,20,0.1538,0.0203,0.0144,1.415,130,20,0.1538,0.0203,0.0144,1.415,"any_error","old","overlap",NA
"2-3","cat_elig <=   2.500 & rawben_rel_max >   0.993 & shelter_expenses_by_hh_size <= 751.000 & unc_rawben_rel_max <=   0.997","ranger",102,31,0.3039,0.2101,58,12,0.2069,0.0122,0.0104,0.631,58,12,0.2069,0.0122,0.0104,0.631,"any_error","old","overlap",NA
"2-3","cat_elig >   0.500 & medical_deductions > 112.000 & rawben_rel_max >   0.131 & unc_rawben_rel_max <=   0.996","ranger",294,78,0.2653,0.21,148,34,0.2297,0.0345,0.0249,1.611,148,34,0.2297,0.0345,0.0249,1.611,"any_error","old","shifted",NA
"2-3","months_since_cert_n >   5.50 & percent_abawd <=   1.75 & shelter_expenses_by_hh_size > 844.00","ranger",294,78,0.2653,0.21,178,25,0.1404,0.0254,0.0273,1.938,178,25,0.1404,0.0254,0.0273,1.938,"any_error","old","shifted",NA
"2-3","months_since_cert_n >=   5.000 & rawben_rel_max >=   0.142 & rawben_rel_max <   0.780 & shelter_expenses_by_hh_size >= 668.000","xgboost",413,106,0.2567,0.21,236,43,0.1822,0.0436,0.0337,2.569,236,43,0.1822,0.0436,0.0337,2.569,"any_error","old","shifted",NA
"2-3","count_divisible_by_100 >   0.500 & elderly_disabled_i <=   0.500 & shelter_expenses_by_hh_size <= 237.000 & unc_rawben_rel_max <=   0.715","ranger",79,25,0.3165,0.2099,41,9,0.2195,0.0091,0.0052,0.446,41,9,0.2195,0.0091,0.0052,0.446,"any_error","old","overlap",NA
"2-3","rawben_rel_max <=   0.997 & shelter_expenses_by_hh_size > 849.000 & total_deductions_by_hh_size <= 766.000","ranger",452,115,0.2544,0.2099,256,48,0.1875,0.0487,0.0519,2.787,256,48,0.1875,0.0487,0.0519,2.787,"any_error","old","shifted",NA
"2-3","cat_elig >   1.5 & expedited_i <=   0.5 & shelter_expenses_by_hh_size > 800.0","ranger",422,108,0.2559,0.2098,10,0,0,0,0,0.109,10,0,0,0,0,0.109,"any_error","old","overlap",NA
"2-3","cat_elig >=   2 & shelter_expenses_by_hh_size >= 790 & total_deductions_by_hh_size >= 199 & utilities >= 426","xgboost",435,111,0.2552,0.2098,6,1,0.1667,0.001,4e-04,0.065,6,1,0.1667,0.001,4e-04,0.065,"any_error","old","shifted",NA
"2-3","elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 574.000 & unc_rawben_rel_max >   0.147 & utilities > 611.000","ranger",174,49,0.2816,0.2098,113,23,0.2035,0.0233,0.0275,1.23,113,23,0.2035,0.0233,0.0275,1.23,"any_error","old","overlap",NA
"2-3","cat_elig >=   1.0000 & total_deductions_by_hh_size >= 564.0000 & unc_rawben_rel_max >=  -0.0392","xgboost",513,129,0.2515,0.2097,287,61,0.2125,0.0619,0.0723,3.125,287,61,0.2125,0.0619,0.0723,3.125,"any_error","old","shifted",NA
"2-3","cat_elig <=  1.500 & medical_deductions <= 67.500 & unc_rawben_rel_max >  0.993 & unc_rawben_rel_max <=  0.996","ranger",53,18,0.3396,0.2096,57,12,0.2105,0.0122,0.0113,0.621,57,12,0.2105,0.0122,0.0113,0.621,"any_error","old","shifted",NA
"2-3","medical_deductions < 158 & months_since_cert_n <   3 & total_deductions_by_hh_size >= 634 & utilities >= 534","xgboost",53,18,0.3396,0.2096,21,4,0.1905,0.0041,0.004,0.229,21,4,0.1905,0.0041,0.004,0.229,"any_error","old","shifted",NA
"2-3","months_since_cert_n < 25.00 & unc_rawben_rel_max >=  1.51","xgboost",150,43,0.2867,0.2094,83,31,0.3735,0.0314,0.0496,0.904,83,31,0.3735,0.0314,0.0496,0.904,"any_error","old","shifted",NA
"2-3","rawben_rel_max >  0.997 & unc_rawben_rel_max >  1.510 & utilities > 40.500","ranger",146,42,0.2877,0.2094,81,32,0.3951,0.0325,0.0505,0.882,81,32,0.3951,0.0325,0.0505,0.882,"any_error","old","shifted",NA
"2-3","rawben_rel_max >=   0.359 & rawben_rel_max <   0.908 & total_deductions_by_hh_size >= 328.000 & utilities < 415.000","xgboost",346,90,0.2601,0.2093,222,45,0.2027,0.0456,0.0423,2.417,222,45,0.2027,0.0456,0.0423,2.417,"any_error","old","shifted",NA
"2-3","HH_size_n <=   2.500 & rawben_rel_max <=   0.995 & shelter_expenses_by_hh_size > 289.000 & total_deductions_by_hh_size > 457.000","ranger",818,198,0.2421,0.209,454,74,0.163,0.0751,0.0721,4.943,454,74,0.163,0.0751,0.0721,4.943,"any_error","old","shifted",NA
"2-3","children_i <   1.00 & shelter_expenses_by_hh_size >= 843.00 & total_deductions_by_hh_size >= 336.00 & unc_rawben_rel_max >=   0.31","xgboost",245,66,0.2694,0.209,124,20,0.1613,0.0203,0.0218,1.35,124,20,0.1613,0.0203,0.0218,1.35,"any_error","old","shifted",NA
"2-3","count_divisible_by_100 <=    0.5 & total_deductions_by_hh_size >  670.0 & total_deductions_by_hh_size <= 1190.0","ranger",220,60,0.2727,0.209,122,27,0.2213,0.0274,0.0343,1.328,122,27,0.2213,0.0274,0.0343,1.328,"any_error","old","overlap",NA
"2-3","count_divisible_by_100 <=   0.5 & elderly_disabled_i >   0.5 & homeless <=   0.5 & shelter_expenses_by_hh_size > 859.0","ranger",262,70,0.2672,0.2088,149,31,0.2081,0.0314,0.0312,1.622,149,31,0.2081,0.0314,0.0312,1.622,"any_error","old","overlap",NA
"2-3","count_divisible_by_100 <=   1.50 & rawben_rel_max <=   0.72 & total_deductions_by_hh_size > 468.00","ranger",550,137,0.2491,0.2088,332,51,0.1536,0.0517,0.0461,3.615,332,51,0.1536,0.0517,0.0461,3.615,"any_error","old","shifted",NA
"2-3","homeless <=   0.500 & months_since_cert_n <=   5.500 & shelter_expenses_by_hh_size > 853.000 & unc_rawben_rel_max <=   0.996","ranger",283,75,0.265,0.2088,152,30,0.1974,0.0304,0.0346,1.655,152,30,0.1974,0.0304,0.0346,1.655,"any_error","old","overlap",NA
"2-3","married >   0.500 & months_since_cert_n >   5.500 & rawben_rel_max <=   0.719 & total_deductions_by_hh_size > 310.000","ranger",212,58,0.2736,0.2087,117,17,0.1453,0.0172,0.0124,1.274,117,17,0.1453,0.0172,0.0124,1.274,"any_error","old","dropped",NA
"2-3","cat_elig >=   2.0000 & rawben_rel_max >=   0.0431 & shelter_expenses_by_hh_size >= 822.0000","xgboost",403,103,0.2556,0.2085,11,0,0,0,0,0.12,11,0,0,0,0,0.12,"any_error","old","shifted",NA
"2-3","elderly_disabled_i >= 1.00 & months_since_cert_n >= 6.00 & unc_rawben_rel_max >= 1.53","xgboost",46,16,0.3478,0.2085,27,10,0.3704,0.0101,0.0127,0.294,27,10,0.3704,0.0101,0.0127,0.294,"any_error","old","overlap",NA
"2-3","HH_size_n >   2.500 & months_since_cert_n <=   5.500 & rawben_rel_max >   0.632 & total_deductions_by_hh_size > 345.000","ranger",229,62,0.2707,0.2083,83,17,0.2048,0.0172,0.019,0.904,83,17,0.2048,0.0172,0.019,0.904,"any_error","old","shifted",NA
"2-3","expedited_i <=   0.5000 & months_since_cert_n >   4.5000 & rawben_rel_max >   0.0433 & total_deductions_by_hh_size > 485.0000","ranger",451,114,0.2528,0.2083,261,41,0.1571,0.0416,0.0381,2.842,261,41,0.1571,0.0416,0.0381,2.842,"any_error","old","overlap",NA
"2-3","cat_elig >=   1.000 & rawben_rel_max <   0.959 & shelter_expenses_by_hh_size >= 678.000 & utilities < 325.000","xgboost",57,19,0.3333,0.2082,22,7,0.3182,0.0071,0.005,0.24,22,7,0.3182,0.0071,0.005,0.24,"any_error","old","shifted",NA
"2-3","count_divisible_by_100 <=   1.5 & months_since_cert_n >   9.5 & shelter_expenses_by_hh_size > 849.0 & total_deductions_by_hh_size <= 570.0","ranger",72,23,0.3194,0.2082,44,5,0.1136,0.0051,0.0075,0.479,44,5,0.1136,0.0051,0.0075,0.479,"any_error","old","overlap",NA
"2-3","medical_deductions <=  192 & total_deductions_by_hh_size >  468 & total_deductions_by_hh_size <= 1010 & utilities <=  335","ranger",99,30,0.303,0.2081,40,12,0.3,0.0122,0.0126,0.435,40,12,0.3,0.0122,0.0126,0.435,"any_error","old","shifted",NA
"2-3","medical_deductions >=   7 & medical_deductions < 312 & total_deductions_by_hh_size >= 504 & total_deductions_by_hh_size < 593","xgboost",32,12,0.375,0.2081,13,3,0.2308,0.003,0.0035,0.142,13,3,0.2308,0.003,0.0035,0.142,"any_error","old","dropped",NA
"2-3","rawben_rel_max <   0.772 & utilities >= 344.000 & utilities < 361.000","xgboost",103,31,0.301,0.208,168,23,0.1369,0.0233,0.025,1.829,168,23,0.1369,0.0233,0.025,1.829,"any_error","old","shifted",NA
"2-3","HH_size_n >=   3 & medical_deductions < 151 & months_since_cert_n >=   4 & total_deductions_by_hh_size >= 634","xgboost",22,9,0.4091,0.2079,13,6,0.4615,0.0061,0.0098,0.142,13,6,0.4615,0.0061,0.0098,0.142,"any_error","old","dropped",NA
"2-3","cat_elig >   0.5 & months_since_cert_n <=   0.5 & total_deductions_by_hh_size > 482.0 & utilities > 806.0","ranger",22,9,0.4091,0.2079,14,2,0.1429,0.002,0.001,0.152,14,2,0.1429,0.002,0.001,0.152,"any_error","old","shifted",NA
"2-3","elderly_disabled_i <=   0.5 & expedited_i >   0.5 & months_since_cert_n <=   5.5 & total_deductions_by_hh_size > 489.0","ranger",22,9,0.4091,0.2079,10,1,0.1,0.001,0.0027,0.109,10,1,0.1,0.001,0.0027,0.109,"any_error","old","dropped",NA
"2-3","elderly_disabled_i <=   0.5 & months_since_cert_n >   8.5 & shelter_expenses_by_hh_size > 947.0 & total_deductions_by_hh_size > 378.0","ranger",22,9,0.4091,0.2079,12,2,0.1667,0.002,0.001,0.131,12,2,0.1667,0.002,0.001,0.131,"any_error","old","dropped",NA
"2-3","elderly_disabled_i >    0.5 & medical_deductions <=  192.0 & total_deductions_by_hh_size > 1010.0","ranger",22,9,0.4091,0.2079,12,3,0.25,0.003,0.0057,0.131,12,3,0.25,0.003,0.0057,0.131,"any_error","old","shifted",NA
"2-3","elderly_disabled_i >=   1.000 & medical_deductions < 315.000 & rawben_rel_max <   0.935 & total_deductions_by_hh_size >= 413.000","xgboost",361,93,0.2576,0.2079,184,38,0.2065,0.0385,0.0344,2.003,184,38,0.2065,0.0385,0.0344,2.003,"any_error","old","shifted",NA
"2-3","expedited_i <=   0.5 & homeless <=   0.5 & shelter_expenses_by_hh_size > 965.0","ranger",314,82,0.2611,0.2079,198,32,0.1616,0.0325,0.0411,2.156,198,32,0.1616,0.0325,0.0411,2.156,"any_error","old","overlap",NA
"2-3","married >  0.5 & medical_deductions >  3.0 & medical_deductions <= 27.5","ranger",22,9,0.4091,0.2079,8,2,0.25,0.002,0.001,0.087,8,2,0.25,0.002,0.001,0.087,"any_error","old","dropped",NA
"2-3","months_since_cert_n >=  11.000 & rawben_rel_max >=   0.706 & shelter_expenses_by_hh_size >= 986.000 & utilities >= 496.000","xgboost",22,9,0.4091,0.2079,10,2,0.2,0.002,0.0013,0.109,10,2,0.2,0.002,0.0013,0.109,"any_error","old","dropped",NA
"2-3","rawben_rel_max >= 0.993 & unc_rawben_rel_max < 0.999","xgboost",151,43,0.2848,0.2079,81,17,0.2099,0.0172,0.0191,0.882,81,17,0.2099,0.0172,0.0191,0.882,"any_error","old","shifted",NA
"2-3","children_i <=  0.500 & rawben_rel_max >  0.997 & total_deductions_by_hh_size > 22.000 & unc_rawben_rel_max >  1.680","ranger",39,14,0.359,0.2078,30,11,0.3667,0.0112,0.0148,0.327,30,11,0.3667,0.0112,0.0148,0.327,"any_error","old","overlap",NA
"2-3","count_divisible_by_100 <=   0.5 & medical_deductions > 144.0 & total_deductions_by_hh_size > 583.0 & utilities > 438.0","ranger",39,14,0.359,0.2078,27,6,0.2222,0.0061,0.0092,0.294,27,6,0.2222,0.0061,0.0092,0.294,"any_error","old","shifted",NA
"2-3","medical_deductions <= 551.000 & months_since_cert_n >   7.500 & percent_abawd <=   0.167 & total_deductions_by_hh_size > 433.000","ranger",387,99,0.2558,0.2078,206,34,0.165,0.0345,0.0314,2.243,206,34,0.165,0.0345,0.0314,2.243,"any_error","old","shifted",NA
"2-3","months_since_cert_n >=  10 & total_deductions_by_hh_size >= 524 & utilities >= 370 & utilities < 912","xgboost",107,32,0.2991,0.2078,43,13,0.3023,0.0132,0.0132,0.468,43,13,0.3023,0.0132,0.0132,0.468,"any_error","old","shifted",NA
"2-3","medical_deductions <= 179.000 & percent_abawd <=   1.750 & rawben_rel_max >   0.997 & unc_rawben_rel_max >   1.560","ranger",115,34,0.2957,0.2077,71,26,0.3662,0.0264,0.0395,0.773,71,26,0.3662,0.0264,0.0395,0.773,"any_error","old","overlap",NA
"2-3","months_since_cert_n <   10.00 & shelter_expenses_by_hh_size < 1120.00 & total_deductions_by_hh_size >=  662.00 & unc_rawben_rel_max <    1.28","xgboost",115,34,0.2957,0.2077,67,11,0.1642,0.0112,0.0121,0.729,67,11,0.1642,0.0112,0.0121,0.729,"any_error","old","shifted",NA
"2-3","utilities >= 426 & utilities < 431","xgboost",135,39,0.2889,0.2077,1,0,0,0,0,0.011,1,0,0,0,0,0.011,"any_error","old","shifted",NA
"2-3","cat_elig <=   2.500 & rawben_rel_max >   0.996 & shelter_expenses_by_hh_size > 264.000 & unc_rawben_rel_max >   1.540","ranger",131,38,0.2901,0.2076,75,31,0.4133,0.0314,0.048,0.817,75,31,0.4133,0.0314,0.048,0.817,"any_error","old","overlap",NA
"2-3","medical_deductions <=  148 & shelter_expenses_by_hh_size > 1170","ranger",119,35,0.2941,0.2076,71,12,0.169,0.0122,0.0187,0.773,71,12,0.169,0.0122,0.0187,0.773,"any_error","old","shifted",NA
"2-3","medical_deductions <=  4.500 & months_since_cert_n <= 10.500 & rawben_rel_max <=  0.996 & unc_rawben_rel_max >  0.993","ranger",76,24,0.3158,0.2076,54,11,0.2037,0.0112,0.0105,0.588,54,11,0.2037,0.0112,0.0105,0.588,"any_error","old","overlap",NA
"2-3","shelter_expenses_by_hh_size >= 986 & utilities >= 503","xgboost",255,68,0.2667,0.2076,182,27,0.1484,0.0274,0.0351,1.981,182,27,0.1484,0.0274,0.0351,1.981,"any_error","old","shifted",NA
"2-3","married <=   0.500 & total_deductions_by_hh_size > 467.000 & unc_rawben_rel_max <=   0.998 & utilities <= 600.000","ranger",336,87,0.2589,0.2075,157,28,0.1783,0.0284,0.0257,1.709,157,28,0.1783,0.0284,0.0257,1.709,"any_error","old","overlap",NA
"2-3","HH_size_n <=   2.500 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 453.000 & utilities >  49.500","ranger",842,202,0.2399,0.2074,462,74,0.1602,0.0751,0.0708,5.03,462,74,0.1602,0.0751,0.0708,5.03,"any_error","old","overlap",NA
"2-3","cat_elig >   1.500 & elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 338.000 & unc_rawben_rel_max <=   0.995","ranger",285,75,0.2632,0.2073,8,1,0.125,0.001,4e-04,0.087,8,1,0.125,0.001,4e-04,0.087,"any_error","old","dropped",NA
"2-3","months_since_cert_n >=   8.000 & rawben_rel_max <   0.545 & shelter_expenses_by_hh_size >= 866.000 & unc_rawben_rel_max <   1.180","xgboost",61,20,0.3279,0.2072,38,4,0.1053,0.0041,0.0042,0.414,38,4,0.1053,0.0041,0.0042,0.414,"any_error","old","shifted",NA
"2-3","children_i <=   0.5 & medical_deductions > 108.0 & total_deductions_by_hh_size > 555.0 & utilities > 542.0","ranger",50,17,0.34,0.2068,33,7,0.2121,0.0071,0.0092,0.359,33,7,0.2121,0.0071,0.0092,0.359,"any_error","old","overlap",NA
"2-3","medical_deductions <= 648.0 & months_since_cert_n >   8.5 & months_since_cert_n <=   9.5 & total_deductions_by_hh_size > 458.0","ranger",50,17,0.34,0.2068,44,4,0.0909,0.0041,0.0024,0.479,44,4,0.0909,0.0041,0.0024,0.479,"any_error","old","shifted",NA
"2-3","elderly_disabled_i >    0.5 & expedited_i <=    0.5 & shelter_expenses_by_hh_size >  853.0 & shelter_expenses_by_hh_size <= 1400.0","ranger",269,71,0.2639,0.2065,144,28,0.1944,0.0284,0.0273,1.568,144,28,0.1944,0.0284,0.0273,1.568,"any_error","old","overlap",NA
"2-3","expedited_i >   0.500 & medical_deductions <= 201.000 & rawben_rel_max <=   0.997 & total_deductions_by_hh_size > 320.000","ranger",148,42,0.2838,0.2064,63,9,0.1429,0.0091,0.0134,0.686,63,9,0.1429,0.0091,0.0134,0.686,"any_error","old","shifted",NA
"2-3","months_since_cert_n >=   2.0000 & rawben_rel_max <   0.8430 & total_deductions_by_hh_size >= 504.0000 & unc_rawben_rel_max >=  -0.0392","xgboost",381,97,0.2546,0.2064,176,24,0.1364,0.0243,0.0224,1.916,176,24,0.1364,0.0243,0.0224,1.916,"any_error","old","shifted",NA
"2-3","cat_elig <= 2.50 & unc_rawben_rel_max > 1.52","ranger",144,41,0.2847,0.2063,83,33,0.3976,0.0335,0.0515,0.904,83,33,0.3976,0.0335,0.0515,0.904,"any_error","old","shifted",NA
"2-3","elderly_disabled_i >   0.500 & total_deductions_by_hh_size <= 500.000 & unc_rawben_rel_max >   0.983 & unc_rawben_rel_max <=   0.996","ranger",65,21,0.3231,0.2063,32,11,0.3438,0.0112,0.009,0.348,32,11,0.3438,0.0112,0.009,0.348,"any_error","old","overlap",NA
"2-3","medical_deductions >= 121.000 & rawben_rel_max >=   0.359 & total_deductions_by_hh_size >=  96.000 & unc_rawben_rel_max <   0.887","xgboost",181,50,0.2762,0.2063,91,19,0.2088,0.0193,0.0125,0.991,91,19,0.2088,0.0193,0.0125,0.991,"any_error","old","shifted",NA
