"hh","rule","source","n_flagged_train","errors_train","precision_train","precision_train_lcb","n_flagged_holdout","errors_caught_holdout","precision_holdout","recall_holdout","dollar_recall_holdout","workload_pct_holdout","n_flagged_any","errors_caught_any","precision_any","recall_any","dollar_recall_any","workload_pct_any","error_frame","side","status","mean_threshold_shift_pct"
"1","elderly_disabled_i >   0.50 & unc_rawben_rel_max >   1.79 & utilities >  67.00 & utilities <= 364.00","ranger",40,19,0.475,0.3056,26,11,0.4231,0.0564,0.0603,0.126,26,11,0.4231,0.0085,0.0102,0.119,"unearned_income","old","shifted",NA
"1","elderly_disabled_i >   0.50 & percent_abawd <=   0.75 & unc_rawben_rel_max >   1.46 & utilities <= 290.00","ranger",107,43,0.4019,0.2989,48,20,0.4167,0.1026,0.1064,0.232,51,23,0.451,0.0178,0.0223,0.234,"unearned_income","old","shifted",NA
"1","shelter_expenses_by_hh_size <= 2190.00 & unc_rawben_rel_max >    1.93 & unc_rawben_rel_max <=    2.26 & utilities <=  301.00","ranger",28,14,0.5,0.2988,14,5,0.3571,0.0256,0.0288,0.068,14,5,0.3571,0.0039,0.0049,0.064,"unearned_income","old","shifted",NA
"1","medical_deductions > 130.00 & percent_abawd <=   0.25 & unc_rawben_rel_max >   2.58 & utilities >  12.50","ranger",16,9,0.5625,0.2968,6,3,0.5,0.0154,0.025,0.029,7,4,0.5714,0.0031,0.0048,0.032,"unearned_income","old","overlap",NA
"1","medical_deductions > 15.50 & percent_abawd <=  0.50 & unc_rawben_rel_max >  2.75","ranger",16,9,0.5625,0.2968,4,1,0.25,0.0051,0.0083,0.019,5,2,0.4,0.0015,0.0019,0.023,"unearned_income","old","overlap",NA
"1","cat_elig <=   1.50 & count_divisible_by_100 <=   0.50 & unc_rawben_rel_max >   1.93 & utilities <= 288.00","ranger",26,13,0.5,0.2925,17,6,0.3529,0.0308,0.0371,0.082,18,7,0.3889,0.0054,0.0077,0.083,"unearned_income","old","overlap",NA
"1","elderly_disabled_i >   0.5 & total_deductions_by_hh_size <= 440.0 & unc_rawben_rel_max >   1.5 & utilities <=  27.5","ranger",14,8,0.5714,0.2895,9,5,0.5556,0.0256,0.0253,0.044,9,5,0.5556,0.0039,0.0043,0.041,"unearned_income","old","shifted",NA
"1","months_since_cert_n >   7.50 & percent_abawd <=   0.25 & unc_rawben_rel_max >   1.93 & utilities <= 430.00","ranger",43,19,0.4419,0.2822,20,6,0.3,0.0308,0.0383,0.097,21,7,0.3333,0.0054,0.0079,0.096,"unearned_income","old","shifted",NA
"1","homeless <=   0.50 & unc_rawben_rel_max >   1.93 & unc_rawben_rel_max <=   2.96 & utilities <= 302.00","ranger",35,16,0.4571,0.2805,21,6,0.2857,0.0308,0.0371,0.102,21,6,0.2857,0.0046,0.0063,0.096,"unearned_income","old","overlap",NA
"1","months_since_cert_n >    7.50 & shelter_expenses_by_hh_size <= 1330.00 & unc_rawben_rel_max >    1.93 & utilities <=  678.00","ranger",93,36,0.3871,0.2789,47,17,0.3617,0.0872,0.0861,0.227,48,18,0.375,0.0139,0.0158,0.221,"unearned_income","old","shifted",NA
