"target","seed","budget","precision_base","precision_cand","precision_ps_pure","precision_pct_pure","precision_base_slt","precision_cand_slt","dollar_recall_base","dollar_recall_cand","dollar_recall_ps_pure","dollar_recall_pct_pure","dollar_recall_base_slt","dollar_recall_cand_slt","d_prec_slt_on_base","d_doll_slt_on_base","d_prec_slt_on_cand","d_doll_slt_on_cand","d_prec_pkg_replication","d_doll_pkg_replication","d_prec_persize_on_base","d_doll_persize_on_base","d_prec_pct_replaces_persize_vs_base","d_doll_pct_replaces_persize_vs_base","d_prec_pct_vs_persize","d_doll_pct_vs_persize"
"New Jersey",117,0.05,0.129,0.129,0.1935,0.0645,0.2258,0.2581,0.0897,0.046,0.1364,0.0352,0.1587,0.1132,0.0968,0.069,0.1291,0.0672,0,-0.0437,0.0645,0.0467,-0.0645,-0.0545,-0.129,-0.1012
"New Jersey",117,0.1,0.1613,0.1774,0.1452,0.1452,0.1613,0.2581,0.1774,0.1508,0.2308,0.1764,0.1995,0.2545,0,0.0221,0.0807,0.1037,0.0161,-0.0266,-0.0161,0.0534,-0.0161,-0.001,0,-0.0544
"New Jersey",20260805,0.05,0.2258,0.2581,0.1935,0.0968,0.1935,0.2581,0.1529,0.1197,0.1456,0.0663,0.1091,0.145,-0.0323,-0.0438,0,0.0253,0.0323,-0.0332,-0.0323,-0.0073,-0.129,-0.0866,-0.0967,-0.0793
"New Jersey",20260805,0.1,0.2258,0.2419,0.2258,0.1613,0.2097,0.2258,0.2631,0.233,0.2926,0.1909,0.2375,0.216,-0.0161,-0.0256,-0.0161,-0.017,0.0161,-0.0301,0,0.0295,-0.0645,-0.0722,-0.0645,-0.1017
"New Jersey",31415,0.05,0.1613,0.1935,0.2903,0.0968,0.129,0.1935,0.1166,0.0942,0.1146,0.0663,0.0897,0.0942,-0.0323,-0.0269,0,0,0.0322,-0.0224,0.129,-0.002,-0.0645,-0.0503,-0.1935,-0.0483
"New Jersey",31415,0.1,0.2258,0.1774,0.2419,0.0968,0.1613,0.2097,0.2392,0.194,0.2252,0.1119,0.1943,0.2265,-0.0645,-0.0449,0.0323,0.0325,-0.0484,-0.0452,0.0161,-0.014,-0.129,-0.1273,-0.1451,-0.1133
"Mississippi",117,0.05,0.3333,0.3111,0.3556,0.3333,0.3111,0.3333,0.0993,0.0941,0.123,0.116,0.1125,0.1091,-0.0222,0.0132,0.0222,0.015,-0.0222,-0.0052,0.0223,0.0237,0,0.0167,-0.0223,-0.00699999999999999
"Mississippi",117,0.1,0.2667,0.3667,0.3667,0.3667,0.3111,0.3667,0.1727,0.2338,0.2467,0.2664,0.2123,0.2432,0.0444,0.0396,0,0.00939999999999999,0.1,0.0611,0.1,0.074,0.1,0.0937,0,0.0197
"Mississippi",20260805,0.05,0.2889,0.3556,0.3111,0.2222,0.2667,0.4222,0.0924,0.1139,0.0921,0.0709,0.0832,0.1364,-0.0222,-0.0092,0.0666,0.0225,0.0667,0.0215,0.0222,-0.000299999999999995,-0.0667,-0.0215,-0.0889,-0.0212
"Mississippi",20260805,0.1,0.2667,0.3667,0.3444,0.3556,0.3333,0.3889,0.1808,0.2341,0.2331,0.2414,0.2459,0.2737,0.0666,0.0651,0.0222,0.0396,0.1,0.0533,0.0777,0.0523,0.0889,0.0606,0.0112,0.0083
"Mississippi",31415,0.05,0.3333,0.3556,0.3556,0.3556,0.2667,0.3556,0.102,0.1393,0.1301,0.1188,0.0762,0.1299,-0.0666,-0.0258,0,-0.00940000000000002,0.0223,0.0373,0.0223,0.0281,0.0223,0.0168,0,-0.0113
"Mississippi",31415,0.1,0.2778,0.3778,0.3111,0.3778,0.3111,0.3778,0.174,0.2602,0.2228,0.2631,0.2252,0.2396,0.0333,0.0512,0,-0.0206,0.1,0.0862,0.0333,0.0488,0.1,0.0891,0.0667,0.0403
