"","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"New Mexico",0.2168,0.4886,0.0759,0.2781,0.2232,0.1108,0.2235,0.2559,0.4108,0.3873,0.341,0.3198,0.5116,0.2176,0.2434,0.3024,0.625,0.1116,0.4283,0.171,0.199,0.3094,0.0458,0.2936,0.1837,0.1783,0.3483,0.0991,0.1828,1,0.1399,0.2152,0.0847,0.2296,0.6567,0.4564,0.1614,0.1337,0.2172,0.0625,0.1757,0.4614,0.1838,0.1107,0.4104,0.413,0.4315,0.4302,0.1857
"New York",0.3802,0.1827,0.0163,0.4442,0.3032,0.8552,0.3064,0.0598,0.189,0.1015,0.0849,0.4671,0.2264,0.2543,0.0926,0.0755,0.1266,0.8949,0.3263,0.8417,0.4895,0.4521,0.0305,0.0998,0.4835,0.3304,0.1518,0.8384,0.8047,0.1399,1,0.7496,0.4779,0.5126,0.1218,0.2714,0.5627,0.7615,0.0601,0.7055,0.0895,0.2254,0.0861,0.8791,0.2255,0.2428,0.1483,0.253,0.0457
"North Carolina",0.4911,0.2106,0.0231,0.403,0.3183,0.7057,0.3476,0.0911,0.1575,0.1039,0.1031,0.5001,0.2465,0.2534,0.1108,0.1144,0.235,0.7156,0.3651,0.8107,0.5494,0.5744,0.0179,0.1145,0.5818,0.3818,0.1534,0.731,0.8483,0.2152,0.7496,1,0.6043,0.6619,0.1534,0.2303,0.6818,0.8512,0.0796,0.7675,0.0918,0.2614,0.0856,0.7044,0.203,0.2154,0.2123,0.2651,0.0501
"North Dakota",0.6814,0.1539,0.0126,0.4678,0.4163,0.419,0.4452,0.0329,0.155,0.0982,0.1247,0.6507,0.2565,0.4067,0.0637,0.0754,0.1135,0.3901,0.3366,0.5259,0.7714,0.7082,0.0501,0.118,0.8484,0.5128,0.135,0.467,0.5605,0.0847,0.4779,0.6043,1,0.7859,0.1045,0.149,0.7564,0.5394,0.091,0.4306,0.1246,0.2135,0.0902,0.4101,0.1761,0.123,0.1298,0.2265,0.0662
"Ohio",0.7399,0.2662,0.0314,0.5617,0.4444,0.4709,0.4875,0.0974,0.1996,0.1363,0.1244,0.7284,0.2852,0.3711,0.1543,0.1655,0.2708,0.4285,0.4905,0.5745,0.7757,0.8004,0.0214,0.1595,0.8227,0.5472,0.1774,0.4642,0.636,0.2296,0.5126,0.6619,0.7859,1,0.2112,0.2847,0.769,0.5886,0.1124,0.4557,0.1273,0.271,0.1154,0.4362,0.2413,0.2709,0.2696,0.3444,0.0745
"Oklahoma",0.2347,0.5212,0.1035,0.239,0.2315,0.0981,0.2326,0.2699,0.4255,0.3209,0.531,0.2952,0.391,0.2276,0.2477,0.3918,0.4716,0.1249,0.3393,0.1243,0.1837,0.2701,0.08,0.217,0.1945,0.1977,0.3923,0.1056,0.1324,0.6567,0.1218,0.1534,0.1045,0.2112,1,0.347,0.1581,0.1142,0.4356,0.0765,0.2049,0.5029,0.2217,0.0905,0.3785,0.3339,0.3538,0.4353,0.1241
"Oregon",0.2727,0.5113,0.0481,0.502,0.392,0.2051,0.3821,0.1933,0.5386,0.317,0.2564,0.4404,0.4405,0.3194,0.25,0.3361,0.416,0.1757,0.5494,0.3302,0.3119,0.4008,0.0374,0.3109,0.253,0.2675,0.4479,0.2214,0.3274,0.4564,0.2714,0.2303,0.149,0.2847,0.347,1,0.2699,0.2419,0.2054,0.0819,0.1505,0.475,0.2297,0.1952,0.4428,0.6347,0.4015,0.6296,0.1646
"Pennsylvania",0.6511,0.2024,0.0228,0.539,0.3971,0.5283,0.4178,0.0907,0.1996,0.1254,0.1173,0.6696,0.2625,0.3347,0.1012,0.1264,0.1591,0.485,0.3869,0.6218,0.7481,0.6913,0.0323,0.1141,0.7695,0.4786,0.1543,0.5485,0.6822,0.1614,0.5627,0.6818,0.7564,0.769,0.1581,0.2699,1,0.6596,0.079,0.5246,0.1241,0.2397,0.1081,0.4975,0.2669,0.2538,0.2045,0.2973,0.059
"Rhode Island",0.4656,0.1823,0.0168,0.441,0.3193,0.7182,0.3356,0.0574,0.1773,0.1068,0.0875,0.4953,0.1657,0.2344,0.0831,0.0735,0.1256,0.7133,0.3175,0.8386,0.5402,0.5031,0.0116,0.0997,0.5436,0.3566,0.1348,0.742,0.8436,0.1337,0.7615,0.8512,0.5394,0.5886,0.1142,0.2419,0.6596,1,0.0656,0.7364,0.0765,0.2339,0.0866,0.7246,0.239,0.228,0.147,0.2649,0.0585
"South Carolina",0.1487,0.3449,0.1042,0.1215,0.2244,0.0616,0.1768,0.2878,0.369,0.3166,0.476,0.1746,0.1791,0.1946,0.1442,0.3986,0.4441,0.0976,0.1837,0.0763,0.0924,0.1441,0.0992,0.1209,0.1228,0.1411,0.5865,0.1103,0.0694,0.2172,0.0601,0.0796,0.091,0.1124,0.4356,0.2054,0.079,0.0656,1,0.0413,0.1973,0.4036,0.1705,0.0485,0.2456,0.163,0.1509,0.3025,0.1119
"South Dakota",0.3652,0.0938,0.2862,0.2457,0.1968,0.6989,0.2112,0.0326,0.0543,0.0428,0.0474,0.3468,0.1087,0.1469,0.3593,0.0559,0.0517,0.7422,0.1797,0.7161,0.3995,0.3739,0.2297,0.2857,0.4227,0.2635,0.0484,0.6942,0.7173,0.0625,0.7055,0.7675,0.4306,0.4557,0.0765,0.0819,0.5246,0.7364,0.0413,1,0.3047,0.1444,0.3021,0.7271,0.1024,0.1168,0.1174,0.1197,0.2913
"Tennessee",0.1799,0.1999,0.7293,0.155,0.2413,0.0657,0.1894,0.3089,0.1892,0.187,0.1883,0.1817,0.2835,0.2501,0.6501,0.2782,0.1603,0.0751,0.2174,0.0705,0.1781,0.1488,0.6567,0.5013,0.1643,0.186,0.1331,0.1271,0.0863,0.1757,0.0895,0.0918,0.1246,0.1273,0.2049,0.1505,0.1241,0.0765,0.1973,0.3047,1,0.272,0.6418,0.0569,0.195,0.1925,0.2399,0.2518,0.6332
"Texas",0.3472,0.7111,0.0933,0.3457,0.4157,0.2303,0.42,0.2676,0.6647,0.4505,0.6218,0.3543,0.4455,0.3428,0.2941,0.4022,0.4848,0.2455,0.4619,0.2757,0.2769,0.3274,0.082,0.3189,0.2753,0.2909,0.5624,0.2839,0.2647,0.4614,0.2254,0.2614,0.2135,0.271,0.5029,0.475,0.2397,0.2339,0.4036,0.1444,0.272,1,0.2892,0.2099,0.4128,0.4107,0.3604,0.5736,0.194
"Utah",0.1501,0.2871,0.6647,0.1773,0.2533,0.073,0.2102,0.0599,0.3194,0.2098,0.3105,0.189,0.209,0.2546,0.6363,0.1143,0.1543,0.0814,0.2271,0.0983,0.1363,0.159,0.641,0.5249,0.1053,0.1919,0.2948,0.0955,0.1157,0.1838,0.0861,0.0856,0.0902,0.1154,0.2217,0.2297,0.1081,0.0866,0.1705,0.3021,0.6418,0.2892,1,0.0728,0.1914,0.2807,0.1979,0.2773,0.7167
"Vermont",0.3439,0.1286,0.011,0.3344,0.267,0.8678,0.2748,0.0381,0.1647,0.0845,0.0589,0.3935,0.1308,0.1925,0.0668,0.0597,0.1046,0.9438,0.2576,0.792,0.4054,0.4071,0.0116,0.1013,0.4061,0.2937,0.1021,0.8602,0.7436,0.1107,0.8791,0.7044,0.4101,0.4362,0.0905,0.1952,0.4975,0.7246,0.0485,0.7271,0.0569,0.2099,0.0728,1,0.1481,0.1904,0.11,0.2135,0.0423
"Virginia",0.318,0.5184,0.0952,0.5537,0.3764,0.175,0.3765,0.2826,0.355,0.3273,0.2941,0.472,0.3699,0.3464,0.1994,0.2325,0.3901,0.1648,0.3855,0.2926,0.3605,0.3507,0.0792,0.2151,0.2824,0.3962,0.3526,0.1811,0.2595,0.4104,0.2255,0.203,0.1761,0.2413,0.3785,0.4428,0.2669,0.239,0.2456,0.1024,0.195,0.4128,0.1914,0.1481,1,0.3929,0.4541,0.5502,0.1493
"Washington",0.2753,0.4796,0.0517,0.4549,0.3897,0.2036,0.3533,0.1481,0.4751,0.2975,0.2438,0.4095,0.4071,0.3196,0.2843,0.2416,0.2845,0.1913,0.4841,0.2754,0.285,0.4005,0.0372,0.3077,0.2443,0.2609,0.3643,0.2,0.3047,0.413,0.2428,0.2154,0.123,0.2709,0.3339,0.6347,0.2538,0.228,0.163,0.1168,0.1925,0.4107,0.2807,0.1904,0.3929,1,0.4564,0.5837,0.1988
"West Virginia",0.3162,0.4447,0.1126,0.3484,0.2737,0.12,0.2514,0.2298,0.2189,0.2155,0.1919,0.351,0.5023,0.3164,0.2933,0.2928,0.4094,0.1189,0.3982,0.163,0.2654,0.3351,0.0689,0.2944,0.2355,0.2735,0.2,0.0929,0.1924,0.4315,0.1483,0.2123,0.1298,0.2696,0.3538,0.4015,0.2045,0.147,0.1509,0.1174,0.2399,0.3604,0.1979,0.11,0.4541,0.4564,1,0.5097,0.1633
"Wisconsin",0.3833,0.6246,0.0895,0.5549,0.5329,0.2344,0.5,0.2936,0.5228,0.3598,0.3546,0.5042,0.5505,0.4846,0.2726,0.4485,0.4431,0.1924,0.5838,0.3331,0.3987,0.4755,0.0785,0.3673,0.3253,0.403,0.4471,0.2496,0.3191,0.4302,0.253,0.2651,0.2265,0.3444,0.4353,0.6296,0.2973,0.2649,0.3025,0.1197,0.2518,0.5736,0.2773,0.2135,0.5502,0.5837,0.5097,1,0.19
"Wyoming",0.1172,0.1836,0.69,0.1017,0.1404,0.0397,0.1202,0.0413,0.2004,0.2051,0.157,0.1049,0.2166,0.1642,0.6175,0.1003,0.1136,0.0517,0.1385,0.0555,0.0822,0.1482,0.6618,0.5661,0.0709,0.1072,0.1264,0.0521,0.048,0.1857,0.0457,0.0501,0.0662,0.0745,0.1241,0.1646,0.059,0.0585,0.1119,0.2913,0.6332,0.194,0.7167,0.0423,0.1493,0.1988,0.1633,0.19,1
