"state","year","category","status"
"Colorado",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, initial application intake, & recertification application intake"
"Colorado",2017,"Mobile Technology","SMS messaging SNAP State Options Report • 40"
"Connecticut",2017,"Program Administration","State-administered"
"Connecticut",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Connecticut",2017,"Joint Processing—Medicaid","Joint application & processing"
"Connecticut",2017,"Joint Processing—TANF","Joint application & processing"
"Connecticut",2017,"Reporting Requirements","Simplified & change reporting"
"Connecticut",2017,"Simplified Reporting—Certification Length","12 & 24 months"
"Connecticut",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Connecticut",2017,"Treatment of Self-Employment Income","Actual costs only"
"Connecticut",2017,"Simplified Homeless Housing Cost","No"
"Connecticut",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Connecticut",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Connecticut",2017,"Child Support Related Disqualification","None"
"Connecticut",2017,"Comparable Disqualifications","No"
"Connecticut",2017,"Drug Felony Disqualifications","Modified ban: imposing a temporary DQ period"
"Connecticut",2017,"Work Requirements and Disqualification Policy","Extended DQ & entire household DQ"
"Connecticut",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Connecticut",2017,"Transitional Benefits Alternative (TBA)","Yes"
"Connecticut",2017,"Demonstrations for the Elderly and Disabled","None"
"Connecticut",2017,"Combined Application Projects (CAPs)","No"
"Connecticut",2017,"Electronic Case Files","Partially electronic files statewide"
"Connecticut",2017,"Online Application","Apply & recertify"
"Connecticut",2017,"Online Case Management","View case information, report changes, & upload documents for verification"
"Connecticut",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client-reported case changes, process case changes, initial applications intake, recertification application intake, & conduct interviews"
"Connecticut",2017,"Mobile Technology","No"
"Delaware",2017,"Program Administration","State-administered"
"Delaware",2017,"SNAP Certification Workflow and Case Management","Specialized units"
"Delaware",2017,"Joint Processing—Medicaid","Joint application & processing in some cases"
"Delaware",2017,"Joint Processing—TANF","Joint application & processing"
"Delaware",2017,"Reporting Requirements","Simplified reporting only"
"Delaware",2017,"Simplified Reporting—Certification Length","12 & 24 months"
"Delaware",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Delaware",2017,"Treatment of Self-Employment Income","Another method"
"Delaware",2017,"Simplified Homeless Housing Cost","Yes"
"Delaware",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Delaware",2017,"Treatment of Child Support Payments","Child support income expense exclusion"
"Delaware",2017,"Child Support Related Disqualification","None"
"Delaware",2017,"Comparable Disqualifications","No"
"Delaware",2017,"Drug Felony Disqualifications","No ban"
"Delaware",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Delaware",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Delaware",2017,"Transitional Benefits Alternative (TBA)","No"
"Delaware",2017,"Demonstrations for the Elderly and Disabled","None"
"Delaware",2017,"Combined Application Projects (CAPs)","No"
"Delaware",2017,"Electronic Case Files","Completely electronic files statewide"
"Delaware",2017,"Online Application","Apply & recertify"
"Delaware",2017,"Online Case Management","View case information & report changes"
"Delaware",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client–reported case changes, & process changes"
"Delaware",2017,"Mobile Technology","No"
"District of Columbia",2017,"Program Administration","State-administered"
"District of Columbia",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"District of Columbia",2017,"Joint Processing—Medicaid","Joint processing only"
"District of Columbia",2017,"Joint Processing—TANF","Joint application & processing"
"District of Columbia",2017,"Reporting Requirements","Simplified & change reporting"
"District of Columbia",2017,"Simplified Reporting—Certification Length","6 & 12 months"
"District of Columbia",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"District of Columbia",2017,"Treatment of Self-Employment Income","Actual costs only"
"District of Columbia",2017,"Simplified Homeless Housing Cost","Yes"
"District of Columbia",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"District of Columbia",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"District of Columbia",2017,"Child Support Related Disqualification","None"
"District of Columbia",2017,"Comparable Disqualifications","No"
"District of Columbia",2017,"Drug Felony Disqualifications","No ban"
"District of Columbia",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"District of Columbia",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"District of Columbia",2017,"Transitional Benefits Alternative (TBA)","Yes"
"District of Columbia",2017,"Demonstrations for the Elderly and Disabled","None"
"District of Columbia",2017,"Combined Application Projects (CAPs)","No"
"District of Columbia",2017,"Electronic Case Files","Partially electronic files statewide"
"District of Columbia",2017,"Online Application","No"
"District of Columbia",2017,"Online Case Management",""
"District of Columbia",2017,"Call Centers","No changes, initial application intake, recertification application intake, & conduct interviews"
"District of Columbia",2017,"Mobile Technology","No"
"Florida",2017,"Program Administration","State-administered"
"Florida",2017,"SNAP Certification Workflow and Case Management","Varies by project area"
"Florida",2017,"Joint Processing—Medicaid","Joint application & processing"
"Florida",2017,"Joint Processing—TANF","Joint application & processing"
"Florida",2017,"Reporting Requirements","Simplified & change reporting"
"Florida",2017,"Simplified Reporting—Certification Length","4, 6, & 12 months"
"Florida",2017,"Income and Resource Alignment with Medicaid and TANF","Income & resources"
"Florida",2017,"Treatment of Self-Employment Income","Actual costs only"
"Florida",2017,"Simplified Homeless Housing Cost","Yes"
"Florida",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Florida",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Florida",2017,"Child Support Related Disqualification","For failure to cooperate-DQ for custodial parent"
"Florida",2017,"Comparable Disqualifications","No"
"Florida",2017,"Drug Felony Disqualifications","Modified ban: limiting the circumstances in which the permanent disqualification applies"
"Florida",2017,"Work Requirements and Disqualification Policy","Regulatory minimum & entire household DQ"
"Florida",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Florida",2017,"Transitional Benefits Alternative (TBA)","No"
"Florida",2017,"Demonstrations for the Elderly and Disabled","ESAP"
"Florida",2017,"Combined Application Projects (CAPs)","Standard CAP"
"Florida",2017,"Electronic Case Files","Completely electronic files statewide"
"Florida",2017,"Online Application","Apply & recertify"
"Florida",2017,"Online Case Management","View case information, report changes, upload documents for verification"
"Florida",2017,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client-reported case changes, process case changes, & conduct interviews"
"Florida",2017,"Mobile Technology","No"
"Georgia",2017,"Program Administration","State-administered"
"Georgia",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Georgia",2017,"Joint Processing—Medicaid","Joint application & processing in some cases"
"Georgia",2017,"Joint Processing—TANF","Joint application & processing"
"Georgia",2017,"Reporting Requirements","Simplified reporting only"
"Georgia",2017,"Simplified Reporting—Certification Length","6 & 12 months"
"Georgia",2017,"Income and Resource Alignment with Medicaid and TANF","Income & resources"
"Georgia",2017,"Treatment of Self-Employment Income","Another method"
"Georgia",2017,"Simplified Homeless Housing Cost","No"
"Georgia",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Georgia",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Georgia",2017,"Child Support Related Disqualification","None"
"Georgia",2017,"Comparable Disqualifications","Yes"
"Georgia",2017,"Drug Felony Disqualifications","Modified ban: requiring compliance with terms of parole or probation"
"Georgia",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Georgia",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Georgia",2017,"Transitional Benefits Alternative (TBA)","Yes"
"Georgia",2017,"Demonstrations for the Elderly and Disabled","SMD & ESAP"
"Georgia",2017,"Combined Application Projects (CAPs)","No"
"Georgia",2017,"Electronic Case Files","Partially electronic files statewide"
"Georgia",2017,"Online Application",""
"Georgia",2017,"Online Case Management","No upload documents for verification"
"Georgia",2017,"Call Centers","Respond to general inquiries, accept client reported case changes, & process case changes"
"Georgia",2017,"Mobile Technology","No"
"Guam",2017,"Program Administration","State-administered"
"Guam",2017,"SNAP Certification Workflow and Case Management","Traditional case management"
"Guam",2017,"Joint Processing—Medicaid","Joint application & processing"
"Guam",2017,"Joint Processing—TANF","Joint application & processing"
"Guam",2017,"Reporting Requirements","Simplified reporting & change reporting"
"Guam",2017,"Simplified Reporting—Certification Length","12 months only"
"Guam",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Guam",2017,"Treatment of Self-Employment Income","Actual costs only Another method: annualizes self-income and Simplified Self-Employment Determination uses the actual costs of doing business"
"Guam",2017,"Simplified Homeless Housing Cost","Yes"
"Guam",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Guam",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Guam",2017,"Child Support Related Disqualification","For failure to cooperate-DQ for custodial parent"
"Guam",2017,"Comparable Disqualifications","Yes"
"Guam",2017,"Drug Felony Disqualifications","Lifetime ban"
"Guam",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Guam",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Guam",2017,"Transitional Benefits Alternative (TBA)","No"
"Guam",2017,"Demonstrations for the Elderly and Disabled","None"
"Guam",2017,"Combined Application Projects (CAPs)","No"
"Guam",2017,"Electronic Case Files","Completely electronic files statewide"
"Guam",2017,"Online Application","No"
"Guam",2017,"Online Case Management","No"
"Guam",2017,"Call Centers","No call center"
"Guam",2017,"Mobile Technology","No"
"Hawaii",2017,"Program Administration","State-administered"
"Hawaii",2017,"SNAP Certification Workflow and Case Management","Specialized units"
"Hawaii",2017,"Joint Processing—Medicaid","Neither joint application or processing"
"Hawaii",2017,"Joint Processing—TANF","Joint application & processing"
"Hawaii",2017,"Reporting Requirements","Simplified & change reporting"
"Hawaii",2017,"Simplified Reporting—Certification Length","12 & 24 months"
"Hawaii",2017,"Income and Resource Alignment with Medicaid and TANF","Income & resources"
"Hawaii",2017,"Treatment of Self-Employment Income","Actual costs only"
"Hawaii",2017,"Simplified Homeless Housing Cost","Yes"
"Hawaii",2017,"Standard Utility Allowances (SUAs)","SUAs that are not mandatory"
"Hawaii",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Hawaii",2017,"Child Support Related Disqualification","None"
"Hawaii",2017,"Comparable Disqualifications","No"
"Hawaii",2017,"Drug Felony Disqualifications","Modified ban: requiring participation in a drug treatment program"
"Hawaii",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Hawaii",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Hawaii",2017,"Transitional Benefits Alternative (TBA)","Yes"
"Hawaii",2017,"Demonstrations for the Elderly and Disabled","None"
"Hawaii",2017,"Combined Application Projects (CAPs)","No"
"Hawaii",2017,"Electronic Case Files","Completely electronic files statewide"
"Hawaii",2017,"Online Application","No"
"Hawaii",2017,"Online Case Management","View case information"
"Hawaii",2017,"Call Centers","No call center"
"Hawaii",2017,"Mobile Technology","No"
"Idaho",2017,"Program Administration","State-administered"
"Idaho",2017,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Idaho",2017,"Joint Processing—Medicaid","Joint application & processing"
"Idaho",2017,"Joint Processing—TANF","Joint application & processing"
"Idaho",2017,"Reporting Requirements","Simplified reporting only"
"Idaho",2017,"Simplified Reporting—Certification Length","6 & 24 months"
"Idaho",2017,"Income and Resource Alignment with Medicaid and TANF","Neither"
"Idaho",2017,"Treatment of Self-Employment Income","Another method"
"Idaho",2017,"Simplified Homeless Housing Cost","Yes"
"Idaho",2017,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Idaho",2017,"Treatment of Child Support Payments","Child support income expense deduction"
"Idaho",2017,"Child Support Related Disqualification","For failure to cooperate-DQ for custodial parent"
"Idaho",2017,"Comparable Disqualifications","Yes"
"Idaho",2017,"Drug Felony Disqualifications","Modified ban: requiring completion of prohibition satisfactorily"
"Idaho",2017,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Idaho",2017,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Idaho",2017,"Transitional Benefits Alternative (TBA)","No"
"Idaho",2017,"Demonstrations for the Elderly and Disabled","SMD"
"Idaho",2017,"Combined Application Projects (CAPs)","No"
