"state","year","category","status"
"California",2016,"Mobile Technology","SMS messaging and mobile app SNAP State Options Report • 33"
"Colorado",2016,"Program Administration","County-administered"
"Colorado",2016,"SNAP Certification Workflow and Case Management","Varies by project area"
"Colorado",2016,"Joint Processing—Medicaid","Joint application & processing"
"Colorado",2016,"Joint Processing—TANF","Joint application & processing in some cases"
"Colorado",2016,"Reporting Requirements","Simplified reporting only"
"Colorado",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Colorado",2016,"Simplified Reporting—Certification Length","6 & 24 months"
"Colorado",2016,"Simplified Income and Resources","Income & resources"
"Colorado",2016,"Simplified Self-Employment Determination","No"
"Colorado",2016,"Simplified Homeless Housing Cost","Yes"
"Colorado",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Colorado",2016,"Treatment of Child Support Payments","Child support expense income exclusion Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Colorado",2016,"Child Support Related Disqualification","None"
"Colorado",2016,"Comparable Disqualifications","No"
"Colorado",2016,"Drug Felony Disqualifications","Modified ban: limiting the circumstances in which the permanent DQ applies"
"Colorado",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Colorado",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Colorado",2016,"Transitional Benefits Alternative (TBA)","Yes"
"Colorado",2016,"Demonstrations for the Elderly and Disabled","SMD"
"Colorado",2016,"Combined Application Project (CAP)","No"
"Colorado",2016,"Online Application","Apply & recertify"
"Colorado",2016,"Online Case Management","View case information, report changes, & upload documents for verification"
"Colorado",2016,"Electronic Case Files","Completely electronic files in specific project areas"
"Colorado",2016,"Call Centers","No call center"
"Colorado",2016,"Mobile Technology","SMS messaging & developing a mobile app SNAP State Options Report • 34"
"Connecticut",2016,"Program Administration","State-administered"
"Connecticut",2016,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Connecticut",2016,"Joint Processing—Medicaid","Joint application & processing"
"Connecticut",2016,"Joint Processing—TANF","Joint application & processing"
"Connecticut",2016,"Reporting Requirements","Simplified & change reporting"
"Connecticut",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Connecticut",2016,"Simplified Reporting—Certification Length","12 & 24 months"
"Connecticut",2016,"Simplified Income and Resources","Neither"
"Connecticut",2016,"Simplified Self-Employment Determination","No"
"Connecticut",2016,"Simplified Homeless Housing Cost","No"
"Connecticut",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Connecticut",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Connecticut",2016,"Child Support Related Disqualification","None"
"Connecticut",2016,"Comparable Disqualifications","No"
"Connecticut",2016,"Drug Felony Disqualifications","Modified ban: imposing a temporary DQ period"
"Connecticut",2016,"Work Requirements and Disqualification Policy","Extended DQ & entire household DQ"
"Connecticut",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Connecticut",2016,"Transitional Benefits Alternative (TBA)","Yes"
"Connecticut",2016,"Demonstrations for the Elderly and Disabled","None"
"Connecticut",2016,"Combined Application Project (CAP)","No"
"Connecticut",2016,"Online Application","Apply & recertify"
"Connecticut",2016,"Online Case Management","View case information, report changes, & upload documents for verification"
"Connecticut",2016,"Electronic Case Files","Completely electronic files statewide"
"Connecticut",2016,"Call Centers","Respond to general inquiries, respond to appli‐ cation or case-specific inquiries, accept client reported case changes, process case changes, initial applications intake, recertification appli‐ cation intake, & conduct interviews"
"Connecticut",2016,"Mobile Technology","No"
"Delaware",2016,"Program Administration","State-administered"
"Delaware",2016,"SNAP Certification Workflow and Case Management","Specialized units"
"Delaware",2016,"Joint Processing—Medicaid","Joint application & processing in some cases"
"Delaware",2016,"Joint Processing—TANF","Joint application & processing in some cases"
"Delaware",2016,"Reporting Requirements","Simplified & change reporting"
"Delaware",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Delaware",2016,"Simplified Reporting—Certification Length","12 & 24 months"
"Delaware",2016,"Simplified Income and Resources","Resources only"
"Delaware",2016,"Simplified Self-Employment Determination","Flat percentage: 51%"
"Delaware",2016,"Simplified Homeless Housing Cost","Yes"
"Delaware",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Delaware",2016,"Treatment of Child Support Payments","Child support expense income exclusion Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Delaware",2016,"Child Support Related Disqualification","None"
"Delaware",2016,"Comparable Disqualifications","No"
"Delaware",2016,"Drug Felony Disqualifications","No ban"
"Delaware",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Delaware",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Delaware",2016,"Transitional Benefits Alternative (TBA)","No"
"Delaware",2016,"Demonstrations for the Elderly and Disabled","None"
"Delaware",2016,"Combined Application Project (CAP)","No"
"Delaware",2016,"Online Application","Apply & recertify"
"Delaware",2016,"Online Case Management","View case information & report changes"
"Delaware",2016,"Electronic Case Files","Completely electronic files statewide"
"Delaware",2016,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client–reported case changes, process changes, recertification application intake, & conduct interviews"
"Delaware",2016,"Mobile Technology","No"
"District of Columbia",2016,"Program Administration","State-administered"
"District of Columbia",2016,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"District of Columbia",2016,"Joint Processing—Medicaid","Joint processing only"
"District of Columbia",2016,"Joint Processing—TANF","Joint application & processing"
"District of Columbia",2016,"Reporting Requirements","Simplified & change reporting"
"District of Columbia",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"District of Columbia",2016,"Simplified Reporting—Certification Length","6 & 12 months"
"District of Columbia",2016,"Simplified Income and Resources","Neither"
"District of Columbia",2016,"Simplified Self-Employment Determination","Another method: uses an average of income to determine monthly income; uses actual cost of doing business by calculating the income and the expenses of the customer."
"District of Columbia",2016,"Simplified Homeless Housing Cost","Yes"
"District of Columbia",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"District of Columbia",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"District of Columbia",2016,"Child Support Related Disqualification","None"
"District of Columbia",2016,"Comparable Disqualifications","No"
"District of Columbia",2016,"Drug Felony Disqualifications","No ban"
"District of Columbia",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"District of Columbia",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"District of Columbia",2016,"Transitional Benefits Alternative (TBA)","Yes"
"District of Columbia",2016,"Demonstrations for the Elderly and Disabled","None"
"District of Columbia",2016,"Combined Application Project (CAP)","No"
"District of Columbia",2016,"Online Application","No"
"District of Columbia",2016,"Online Case Management","No"
"District of Columbia",2016,"Electronic Case Files","Partially electronic files statewide"
"District of Columbia",2016,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, recertification application intake, & conduct interviews"
"District of Columbia",2016,"Mobile Technology","No"
"Florida",2016,"Program Administration","State-administered"
"Florida",2016,"SNAP Certification Workflow and Case Management","Varies by project area"
"Florida",2016,"Joint Processing—Medicaid","Joint application & processing"
"Florida",2016,"Joint Processing—TANF","Joint application & processing"
"Florida",2016,"Reporting Requirements","Simplified & change reporting"
"Florida",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Florida",2016,"Simplified Reporting—Certification Length","4, 6, & 12 months"
"Florida",2016,"Simplified Income and Resources","Income & resources"
"Florida",2016,"Simplified Self-Employment Determination","No"
"Florida",2016,"Simplified Homeless Housing Cost","Yes"
"Florida",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Florida",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but a prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Florida",2016,"Child Support Related Disqualification","For failure to cooperate"
"Florida",2016,"Comparable Disqualifications","Yes"
"Florida",2016,"Drug Felony Disqualifications","Modified ban: limiting the circumstances in which the permanent disqualification applies; DQ for drug trafficking felonies"
"Florida",2016,"Work Requirements and Disqualification Policy","Entire household DQ"
"Florida",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Florida",2016,"Transitional Benefits Alternative (TBA)","No"
"Florida",2016,"Demonstrations for the Elderly and Disabled","ESAP"
"Florida",2016,"Combined Application Project (CAP)","Standard CAP"
"Florida",2016,"Online Application","Apply & recertify"
"Florida",2016,"Online Case Management","View case information, report changes, upload documents for verification"
"Florida",2016,"Electronic Case Files","Completely electronic files statewide"
"Florida",2016,"Call Centers","Respond to general inquiries, respond to application or case-specific inquiries, accept client-reported case changes, process case changes, & conduct interviews"
"Florida",2016,"Mobile Technology","No"
"Georgia",2016,"Program Administration","State-administered"
"Georgia",2016,"SNAP Certification Workflow and Case Management","Varies by project area"
"Georgia",2016,"Joint Processing—Medicaid","Joint application & processing"
"Georgia",2016,"Joint Processing—TANF","Joint application & processing"
"Georgia",2016,"Reporting Requirements","Simplified reporting only"
"Georgia",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Georgia",2016,"Simplified Reporting—Certification Length","6 & 12 months"
"Georgia",2016,"Simplified Income and Resources","Income & resources"
"Georgia",2016,"Simplified Self-Employment Determination","Flat percentage: 40%"
"Georgia",2016,"Simplified Homeless Housing Cost","No"
"Georgia",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Georgia",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Georgia",2016,"Child Support Related Disqualification","None"
"Georgia",2016,"Comparable Disqualifications","Yes"
"Georgia",2016,"Drug Felony Disqualifications","No ban"
"Georgia",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Georgia",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Georgia",2016,"Transitional Benefits Alternative (TBA)","Yes"
"Georgia",2016,"Demonstrations for the Elderly and Disabled","SMD & ESAP"
"Georgia",2016,"Combined Application Project (CAP)","No"
"Georgia",2016,"Online Application",""
"Georgia",2016,"Online Case Management","No upload documents for verification"
"Georgia",2016,"Electronic Case Files","Partially electronic files statewide"
"Georgia",2016,"Call Centers","Respond to general inquiries, accept client reported case changes, process case changes, & conduct interviews"
"Georgia",2016,"Mobile Technology","No"
"Guam",2016,"Program Administration","State-administered"
"Guam",2016,"SNAP Certification Workflow and Case Management","Traditional case management"
"Guam",2016,"Joint Processing—Medicaid","Joint application & processing"
"Guam",2016,"Joint Processing—TANF","Joint application & processing"
"Guam",2016,"Reporting Requirements","Simplified reporting only"
"Guam",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Guam",2016,"Simplified Reporting—Certification Length","12 months only"
"Guam",2016,"Simplified Income and Resources","Neither"
"Guam",2016,"Simplified Self-Employment Determination","Another method: annualizes self-income and uses the actual costs of doing business"
"Guam",2016,"Simplified Homeless Housing Cost","Yes"
"Guam",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Guam",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but a prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Guam",2016,"Child Support Related Disqualification","For failure to cooperate"
"Guam",2016,"Comparable Disqualifications","Yes"
"Guam",2016,"Drug Felony Disqualifications","Lifetime ban"
"Guam",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Guam",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Guam",2016,"Transitional Benefits Alternative (TBA)","No"
"Guam",2016,"Demonstrations for the Elderly and Disabled","None"
"Guam",2016,"Combined Application Project (CAP)","No"
"Guam",2016,"Online Application","No"
"Guam",2016,"Online Case Management","No"
"Guam",2016,"Electronic Case Files","Completely electronic files statewide"
"Guam",2016,"Call Centers","No call center"
"Guam",2016,"Mobile Technology","No"
"Hawaii",2016,"Program Administration","State-administered"
"Hawaii",2016,"SNAP Certification Workflow and Case Management","Specialized units"
"Hawaii",2016,"Joint Processing—Medicaid","Neither joint application or processing"
"Hawaii",2016,"Joint Processing—TANF","Joint application & processing"
"Hawaii",2016,"Reporting Requirements","Simplified & change reporting"
"Hawaii",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Hawaii",2016,"Simplified Reporting—Certification Length","6, 12, & 24 months"
"Hawaii",2016,"Simplified Income and Resources","Resources only"
"Hawaii",2016,"Simplified Self-Employment Determination","No"
"Hawaii",2016,"Simplified Homeless Housing Cost","No"
"Hawaii",2016,"Standard Utility Allowances (SUAs)","SUAs that are not mandatory"
"Hawaii",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Hawaii",2016,"Child Support Related Disqualification","None"
"Hawaii",2016,"Comparable Disqualifications","Yes"
"Hawaii",2016,"Drug Felony Disqualifications","Modified ban: requiring participation in a drug treatment program"
"Hawaii",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Hawaii",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Hawaii",2016,"Transitional Benefits Alternative (TBA)","Yes"
"Hawaii",2016,"Demonstrations for the Elderly and Disabled","None"
"Hawaii",2016,"Combined Application Project (CAP)","No"
"Hawaii",2016,"Online Application","No"
"Hawaii",2016,"Online Case Management","View case information"
"Hawaii",2016,"Electronic Case Files","Completely electronic files statewide"
"Hawaii",2016,"Call Centers","No call center"
"Hawaii",2016,"Mobile Technology","No"
"Idaho",2016,"Program Administration","State-administered"
"Idaho",2016,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Idaho",2016,"Joint Processing—Medicaid","Joint application & processing"
"Idaho",2016,"Joint Processing—TANF","Joint application & processing"
"Idaho",2016,"Reporting Requirements","Simplified reporting only"
"Idaho",2016,"Simplified Reporting—Action on Changes","Act only on changes that result in an increase in household benefits"
"Idaho",2016,"Simplified Reporting—Certification Length","6 & 24 months"
"Idaho",2016,"Simplified Income and Resources","Neither"
"Idaho",2016,"Simplified Self-Employment Determination","Flat percentage: 50%"
"Idaho",2016,"Simplified Homeless Housing Cost","Yes"
"Idaho",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Idaho",2016,"Treatment of Child Support Payments","Child support expense income deduction Treatment of Income and Count all Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Idaho",2016,"Child Support Related Disqualification","For failure to cooperate"
"Idaho",2016,"Comparable Disqualifications","Yes Modified ban: limiting the circumstances in which the permanent disqualification applies;"
"Idaho",2016,"Drug Felony Disqualifications","DQ unless in compliance with the terms of a withheld judgment, probation, or parole"
"Idaho",2016,"Work Requirements and Disqualification Policy","Extended DQ"
"Idaho",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Idaho",2016,"Transitional Benefits Alternative (TBA)","No"
"Idaho",2016,"Demonstrations for the Elderly and Disabled","SMD"
"Idaho",2016,"Combined Application Project (CAP)","No"
"Idaho",2016,"Online Application","Recertify"
"Idaho",2016,"Online Case Management","View case information, report changes, & upload documents for verification"
"Idaho",2016,"Electronic Case Files","Completely electronic files statewide"
"Idaho",2016,"Call Centers","Respond to general inquiries, respond to appli‐ cation or case-specific inquiries, accept client reported case changes, process case changes, recertification application intake, & conduct interviews"
"Idaho",2016,"Mobile Technology","No"
"Illinois",2016,"Program Administration","State-administered"
"Illinois",2016,"SNAP Certification Workflow and Case Management","Traditional case management"
"Illinois",2016,"Joint Processing—Medicaid","Joint application & processing"
"Illinois",2016,"Joint Processing—TANF","Joint application & processing"
"Illinois",2016,"Reporting Requirements","Simplified & change reporting"
"Illinois",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Illinois",2016,"Simplified Reporting—Certification Length","12 months only"
"Illinois",2016,"Simplified Income and Resources","Income & resources"
"Illinois",2016,"Simplified Self-Employment Determination","No"
"Illinois",2016,"Simplified Homeless Housing Cost","No"
"Illinois",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Illinois",2016,"Treatment of Child Support Payments","Child support expense income exclusion Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Pre PRWORA Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Illinois",2016,"Child Support Related Disqualification","None"
"Illinois",2016,"Comparable Disqualifications","No"
"Illinois",2016,"Drug Felony Disqualifications","No ban"
"Illinois",2016,"Work Requirements and Disqualification Policy","Extended DQ"
"Illinois",2016,"Broad Based Categorical Eligibility (BBCE)","Yes"
"Illinois",2016,"Transitional Benefits Alternative (TBA)","Yes"
"Illinois",2016,"Demonstrations for the Elderly and Disabled","SMD"
"Illinois",2016,"Combined Application Project (CAP)","No"
"Illinois",2016,"Online Application","Apply"
"Illinois",2016,"Online Case Management","Report changes"
"Illinois",2016,"Electronic Case Files",""
"Illinois",2016,"Call Centers","No reported case changes, process case changes, initial application intake, & conduct interviews"
"Illinois",2016,"Mobile Technology","No"
"Indiana",2016,"Program Administration","State-administered"
"Indiana",2016,"SNAP Certification Workflow and Case Management","Casebanking statewide"
"Indiana",2016,"Joint Processing—Medicaid","Joint processing only"
"Indiana",2016,"Joint Processing—TANF","Joint application & processing"
"Indiana",2016,"Reporting Requirements","Simplified reporting only"
"Indiana",2016,"Simplified Reporting—Action on Changes","Act on all changes"
"Indiana",2016,"Simplified Reporting—Certification Length","12 months only"
"Indiana",2016,"Simplified Income and Resources","Neither"
"Indiana",2016,"Simplified Self-Employment Determination","Flat percentage: 40%"
"Indiana",2016,"Simplified Homeless Housing Cost","No"
"Indiana",2016,"Standard Utility Allowances (SUAs)","Mandatory SUAs"
"Indiana",2016,"Treatment of Child Support Payments","Child support expense income deduction Count all for gross income test Treatment of Income and then count all but a prorated share for net Deductions of Ineligible Non-Citizens—Pre PRWORA income test Treatment of Income and Count all but prorated share Deductions of Ineligible Non-Citizens—Post PRWORA"
"Indiana",2016,"Child Support Related Disqualification","None"
"Indiana",2016,"Comparable Disqualifications","No"
"Indiana",2016,"Drug Felony Disqualifications","Lifetime ban"
"Indiana",2016,"Work Requirements and Disqualification Policy","Regulatory minimum"
"Indiana",2016,"Broad Based Categorical Eligibility (BBCE)","No"
