report_year,source,jurisdiction,page,variable,label_raw,label_norm,value_raw
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,cap,Combined Application Project (CAP),combined application project cap,No
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Online Application,online application,Apply & recertify
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Online Case Management Call Centers,online case management call centers,"View case information, report changes, & upload documents for verification Respond to general inquiries, respond to application or case-specific inquiries, accept case changes, & process changes"
2016,12-State_Options_Oct1_2015.pdf,Colorado,35,,Mobile Technology,mobile technology,No mobile technology
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,SNAP Name,snap name,Supplemental Nutrition Assistance Program
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,program_admin,Program Administration,program administration,State-administered
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,reporting,Reporting Requirements,reporting requirements,Simplified Reporting only
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Simplified Reporting - Action on Changes,simplified reporting action on changes,Act only on changes that result in an increase in household benefits
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,cert_periods,Simplified Reporting - Certification Length,simplified reporting certification length,12 & 24 months only
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Simplified Income and Resources,simplified income and resources,Neither
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,self_employment,Simplified Self-Employment Determination,simplified self employment determination,No
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Simplified Homeless Housing Cost,simplified homeless housing cost,No
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,suas,Standard Utility Allowances (SUAs),standard utility allowances suas,Mandatory SUAs
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Treatment of Vehicles,treatment of vehicles,All vehicles excluded
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Treatment of Income and Deductions of Ineligible Non-Citizens,treatment of income and deductions of ineligible non citizens,Prorate for both categories
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,child_support,Child Support Expense Exclusion,child support expense exclusion,No
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,child_support_disq,Child Support Related Disqualification,child support related disqualification,None
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,comparable_disq,Comparable Disqualifications,comparable disqualifications,No
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,drug_felony,Drug Felony Disqualifications,drug felony disqualifications,Modifications include: imposing a temporary DQ period
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,work_requirements,Work Requirements and Disqualification Policy,work requirements and disqualification policy,Extended DQ & entire household DQ
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,bbce,Broad Based Categorical Eligibility (BBCE),broad based categorical eligibility bbce,Yes
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,tba,Transitional Benefits Alternative (TBA),transitional benefits alternative tba,No
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Document Imaging,document imaging,Partially electronic files statewide
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,demonstrations,Demonstrations for the Elderly and Disabled,demonstrations for the elderly and disabled,None
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,cap,Combined Application Project (CAP),combined application project cap,No
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Online Application,online application,Apply
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Online Case Management,online case management,View case information
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Call Centers,call centers,"Respond to general inquiries, respond to application or case-specific inquiries, accept case changes, process changes, accept initial application, accept recertification applications, & conduct interviews"
2016,12-State_Options_Oct1_2015.pdf,Connecticut,36,,Mobile Technology,mobile technology,No mobile technology
