Year,State,ProgramAdministration,ReportingRequirements,CertificationPeriods,SelfEmploymentIncome,SUAs,IneligibleNoncitizensPrePRWORA,IneligibleNoncitizensPostPRWORA,ChildSupportPayments,ChildSupportDisqualifications,ComparableDisqualification,DrugFelonyDisqualifications,WorkRequirements,SNAPETPrograms,ABAWDTimeLimitWaiver,ABAWDDiscretionaryExemptions,BBCE,TBA,DemonstrationsElderlyDisability,CAP
2024,Maryland,State administered,Simplified reporting only,"4 months, 6 months, 12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,TBA,ESAP only,Modified CAP
2024,Massachusetts,State administered,Simplified and change reporting,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all,Count all but a prorated share,Child support income expense deduction,None,Comparable disqualifications,No disqualification,Extended disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD and ESAP,Standard CAP
2024,Michigan,State administered,Simplified and change reporting,"12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,Failure to cooperate: disqualification for custodial parent,Comparable disqualifications,Modified disqualification,Extended disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,SMD only,Modified CAP
2024,Minnesota,"Region, district, or county administered","Simplified, change, and monthly reporting","12 months, 24 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2024,Mississippi,State administered,Change reporting only,"4 months, 6 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,Failure to cooperate: disqualification for custodial and noncustodial parent and arrearage on support payments,Comparable disqualifications,No disqualification,Extended disqualification periods and permanent disqualification after third instance of noncompliance,Voluntary and mandatory,Partial ABAWD time limit waiver,Use of discretionary exemptions,No BBCE,No TBA,ESAP only,Standard CAP
2024,Missouri,State administered,Simplified reporting only,"12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense exclusion,None,Comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,No use of discretionary exemptions,No BBCE,No TBA,SMD only,No CAP
2024,Montana,State administered,Simplified and change reporting,"6 months, 12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2024,Nebraska,State administered,Simplified reporting only,"6 months, 12 months",Another method,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,Failure to cooperate: disqualification for custodial and noncustodial parent,No comparable disqualifications,Modified disqualification,Minimum disqualification periods,Voluntary only,No ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,No SMD or ESAP,No CAP
2024,Nevada,State administered,Simplified and change reporting,"6 months, 12 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Statewide ABAWD time limit waiver,No use of discretionary exemptions,BBCE,No TBA,No SMD or ESAP,No CAP
2024,New Hampshire,State administered,Simplified and change reporting,"4 months, 6 months, 12 months, 24 months",Actual costs,Mandatory SUAs,Count all but a prorated share,Count all but a prorated share,Child support income expense deduction,None,No comparable disqualifications,No disqualification,Minimum disqualification periods,Voluntary only,Partial ABAWD time limit waiver,Use of discretionary exemptions,BBCE,TBA,SMD only,No CAP
